SNName,TNSName,DiscDate,RA,Dec,Redshift,PeakMag,PeakMagV,PeakMagg,Offset,Type,HostName,DiscoveredBy,Recovered
2018bde,2018bde,2018/04/28.336,'23:14:33.338,-24:56:14.64,0.048,17.6,---,---,0.36,Ia,WISEA J231433.31-245615.1,Gaia,No
2018bdg,2018bdg,2018/04/28.048,'11:59:37.001,+27:31:50.05,0.09,17.8,---,16.36,1.2,Ia-91T,SDSS J115937.07+273150.7,Gaia,Yes
2018bek,2018bek,2018/05/05.060,'15:32:01.550,+68:14:31.00,0.022,16.4,---,16.54,16.32,IIn,IC 1129,Jaroslaw Grzegorzek,Yes
2018bgc,2018bgc,2018/05/06.304,'08:33:54.680,+55:32:29.39,0.0313,17.6,---,16.76,13.9,Ia,CGCG 263-049,ATLAS,Yes
2018bgv,2018bgv,2018/05/06.722,'11:02:30.290,+55:35:55.79,0.08,17.5,---,17.124,1.23,SLSN-I,SDSS J110230.41+553555.1,Gaia,Yes
2018bgy,2018bgy,2018/05/07.419,'14:55:11.650,-36:13:50.51,0.032,17.2,---,16.73,15.3,Ia,WISEA J145512.67-361359.3,ATLAS,Yes
2018bgz,2018bgz,2018/05/08.307,'14:49:38.300,+25:22:12.72,0.033927,15.7,---,16.55,52.26,Ia,UGC 09544,CRTS,Yes
2018bhb,2018bhb,2018/05/08.719,'15:27:25.220,-00:26:52.41,0.053,17.9,---,---,15.1,Ia,CGCG 021-098,PMO-Tsinghua Supernova Survey (PTSS),No
2018bhc,2018bhc,2018/05/07.773,'16:46:25.295,+25:25:17.25,0.056,17.8,---,---,0.1,Ia,WISEA J164625.30+252517.3,Gaia,No
2018bhm,2018bhm,2018/04/26.580,'16:46:40.230,+10:48:40.14,0.055,17.9,---,---,14.58,Ia,WISEA J164641.05+104848.2,ATLAS,No
2018bi,2018bi,2018/01/05.292,'02:19:53.280,+29:02:02.70,0.017,17.1,---,---,10.71499064,Ia,UGC 01792,Jaroslaw Grzegorzek,No
2018bie,2018bie,2018/05/10.405,'12:35:44.330,-00:13:16.01,0.022,16.5,16.094,15.808,14.3,Ia-91T,CGCG 014-073 NED02,ATLAS,Yes
2018bih,2018bih,2018/05/06.574,'18:30:43.850,+42:21:44.38,0.044,17.9,17.84,17.76,8.7,IIn,WISEA J183043.44+422152.7,ATLAS,No
2018bio,2018bio,2018/05/09.275,'11:33:02.450,+62:44:37.30,0.048,17,---,---,10.4,Ia,WISEA J113302.76+624447.5,LOSS,Yes
