SNName,TNSName,DiscDate,RA,Dec,Redshift,PeakMag,PeakMagV,PeakMagg,Offset,Type,HostName,DiscoveredBy,Recovered
2018fuu,2018fuu,2018/09/01.264,'23:24:56.600,+09:25:52.68,0.06,17.8,---,17.247,0.4,Ia,WISEA J232456.59+092552.5,ZTF,No
2018fvm,2018fvm,2018/09/06.349,'20:37:27.790,-37:43:16.93,0.018,17.8,16.63,17.15,3.12,Ia,WISEA J203727.89-374314.0,ATLAS,Yes
2018fvr,2018fvr,2018/09/06.246,'15:52:22.180,+22:55:56.41,0.05273,17,---,16.58,3.1,Ia,WISEA J155221.97+225555.9,ATLAS,Yes
2018fvu,2018fvu,2018/08/31.269,'20:03:35.790,+66:13:46.48,0.03,18,---,---,2.23,II,UNCATALOGUED,ZTF,No
2018fvx,2018fvx,2018/09/06.624,'05:49:29.400,-19:33:20.88,0.029,17.8,---,17.79,38.82,II,ESO 555-G1,ATLAS,Yes
2018fvy,2018fvy,2018/09/06.497,'01:32:16.230,-33:06:05.61,0.036,17.9,17.04,17.13,9,Ia,WISEA J013216.87-330602.3,ATLAS,Yes
2018fy,2018fy,2018/01/10.512,'09:53:20.040,-18:25:09.30,0.012,17.3,---,---,11.69632184,II,ESO 566- G 023,PS1,No
2018fyg,2018fyg,2018/09/05.729,'02:45:59.360,+42:32:29.67,0.038643,17.4,---,---,5.2,Ia,WISEA J024559.74+423232.3,ATLAS,No
2018fzw,2018fzw,2018/09/08.603,'05:42:48.040,-24:29:34.39,0.046,17.4,---,16.94,3.2,Ia,WISEA J054247.77-242934.8,ATLAS,Yes
2018gdl,2018gdl,2018/09/03.342,'00:41:44.600,+51:37:51.49,0.034,16.7,---,---,8.1,Ia,WISEA J004145.04+513744.5,ZTF,No
2018geo,2018geo,2018/09/11.228,'16:18:13.840,+39:07:25.74,0.03104,16.6,---,16.52,0.7,Ia,WISEA J161813.78+390725.0,ATLAS,Yes
2018gep,2018gep,2018/09/09.163,'16:43:48.220,+41:02:43.37,0.033,15.6,---,15.83,0.18,Ic-BL,SDSS J164348.23+410243.4,ZTF,Yes
2018ggc,2018ggc,2018/09/08.522,'08:38:10.690,+24:53:26.72,0.03,17.6,---,---,16.6,Ia-pec,NGC 2622,ZTF,No
2018ghh,2018ghh,2018/09/11.522,'10:14:20.240,+56:19:16.44,0.05,18,---,---,9,Ia,SDSS J101420.34+561907.4,ZTF,No
2018ghp,2018ghp,2018/09/03.289,'00:13:42.060,+27:34:03.45,0.069,17.8,---,---,26.34,Ia,WISEA J001343.83+273351.6,ZTF,No
2018gj,2018gj,2018/01/12.242,'16:32:02.305,+78:12:40.94,0.004543,14.4,14.525,14.79,122.761498,II,NGC 6217,Patrick Wiggins,Yes
2018glu,2018glu,2018/09/12.691,'15:14:11.160,-14:20:58.86,0.025,17,---,---,4.68071202,Ia,MCG -02-39-009,ATLAS,No
2018grt,2018grt,2018/09/06.360,'00:04:36.310,+51:59:37.70,0.044,17.2,---,---,0.84,Ia,WISEA J000436.33+515937.5,ZTF,No
2018gsk,2018gsk,2018/09/15.635,'04:09:11.620,+08:38:51.83,0.0116,16.2,---,---,6.016276444,Ic,NGC 1517,ATLAS,No
2018gui,2018gui,2018/09/24.200,'19:40:06.780,+66:53:05.27,0.028,17.1,---,---,10.92,Ia,WISEA J194004.94+665306.5,ZTF,Yes
2018gv,2018gv,2018/01/15.681,'08:05:34.610,-11:26:16.30,0.0053,12.8,12.98,---,63.73908467,Ia,NGC 2525,Koichi Itagaki,Yes
2018gvl,2018gvl,2018/09/22.510,'06:34:10.850,+52:07:47.28,0.035795,17.7,---,---,11.2,Ia,UGC 03488,ZTF,No
2018gvt,2018gvt,2018/09/27.269,'23:07:32.540,+23:00:20.93,0.0208,17.7,---,---,28.2,II,NGC 7489,ZTF,No
2018gwo,2018gwo,2018/09/28.112,'12:08:38.910,+68:46:44.99,0.007759,16.4,---,---,54.83490073,Ic,NGC 4128,Patrick Wiggins,No
2018hbz,2018hbz,2018/10/03.190,'11:23:53.506,+58:08:34.30,0.04,17.4,---,---,6,Ia,2MASS J11235298+5808385,Gaia,No
2018hcr,2018hcr,2018/10/03.422,'22:25:59.410,+03:27:29.84,0.04,17.1,---,17.11,8.7,Ia,WISEA J222558.98+032735.8,ATLAS,Yes
2018hee,2018hee,2018/10/07.603,'03:38:40.320,+07:39:49.43,0.034264,17.4,---,17.235,6.9,Ia,WISEA J033839.99+073954.1,ATLAS,Yes
2018hfc,2018hfc,2018/10/07.943,'11:01:58.584,+45:13:39.14,0.02,17.8,---,---,4.7,IIP,UGC 06103,Gaia,No
2018hgc,2018hgc,2018/10/06.310,'00:42:04.560,-02:37:44.51,0.052,17,---,17.13,20.7,Ia,WISEA J004205.96-023739.1,CRTS,Yes
2018hhn,2018hhn,2018/10/13.867,'22:52:32.060,+11:40:26.70,0.0288,16.1,---,16.78,44.52523637,Ia,UGC 12222,Jaroslaw Grzegorzek,Yes
2018hi,2018hi,2018/01/15.168,'08:53:40.570,-25:03:32.04,0.022,17.9,---,---,13.8,II,WISEA J085339.57-250330.0,Gaia,No
2018hib,2018hib,2018/10/10.869,'02:56:21.272,-32:11:08.77,0.016291,17.2,---,15.144,3.480268899,Ia,ESO 417- G 006,Gaia,Yes
2018hjn,2018hjn,2018/10/14.613,'05:00:46.120,-29:51:31.98,0.020811,17.7,---,15.5,8.1,Ia,ESO 422- G 020,ATLAS,Yes
2018hju,2018hju,2018/11/03.642,'23:55:25.880,+47:11:32.56,0.041,17.5,---,---,9.4,Ia,WISEA J235526.18+471141.4,ATLAS,No
2018hle,2018hle,2018/10/17.481,'03:39:28.100,-13:07:01.92,0.014,17.5,---,---,16.56768099,II,IC 0340,LOSS,No
2018hlr,2018hlr,2018/10/18.452,'18:20:33.170,+41:58:04.41,0.059,17.5,---,---,4.5,Ia-91T,UNCATALOGUED,PMO-Tsinghua Supernova Survey (PTSS),No
2018hls,2018hls,2018/10/17.629,'08:15:43.610,+58:18:53.41,0.027,17.7,---,---,24.2,Ia,UGC 04289,ATLAS,No
2018hmk,2018hmk,2018/10/18.642,'18:28:08.125,+34:18:15.74,0.023,17.6,---,---,6.4,Ib,NGC 6640,Gaia,No
2018hmn,2018hmn,2018/10/19.526,'11:26:40.214,+22:17:03.34,0.043,17.2,---,---,13.08,Ia-91T,SDSS J112639.33+221708.1,Gaia,No
2018hmx,2018hmx,2018/10/17.646,'08:33:39.340,+55:35:53.10,0.037,17.2,---,---,25.31946316,IIP,CGCG 263-047,ATLAS,Yes
2018hmy,2018hmy,2018/10/21.654,'08:31:36.390,-59:47:08.80,0.021562,16.8,---,16.04,20.1371625,Ia,ESO 124- G 018,Stu Parker,No
2018hna,2018hna,2018/10/22.815,'12:26:12.050,+58:18:51.10,0.002408,13.7,---,14.68,43.14,II,UGC 07534,Koichi Itagaki,Yes
2018hnw,2018hnw,2018/10/22.285,'20:14:37.520,-19:21:01.63,0.028,17.8,---,---,11.4,Ib/c,ESO 596- G 008,ATLAS,No
2018hoa,2018hoa,2018/10/21.383,'23:37:12.100,+40:43:18.39,0.011,18,---,---,1.8,IIb,WISEA J233712.17+404316.8,ATLAS,No
2018hoi,2018hoi,2018/10/25.194,'17:06:49.110,+42:25:24.73,0.03903,17.1,---,---,7.664260061,Ia,ARK 515,ATLAS,No
2018hom,2018hom,2018/10/24.431,'22:59:22.970,+08:45:05.07,0.0362,16.6,---,17.07,0.7,Ic-BL,WISEA J225922.95+084504.6,ATLAS,Yes
2018how,2018how,2018/10/26.376,'23:26:12.720,-25:44:24.32,0.051,17.2,---,17.263,0.991030613,Ia,WISEA J232612.73-254423.8,ATLAS,Yes
2018hpb,2018hpb,2018/10/25.372,'22:01:34.520,-17:27:45.22,0.0177,16.6,16.366,16.6,3,IIn,WISEA J220134.68-172746.5,ATLAS,Yes
2018hqt,2018hqt,2018/10/28.672,'14:02:54.291,+73:04:57.78,0.03013,17.1,---,---,6.849247874,II,UGC 08992,Gaia,No
2018hrr,2018hrr,2018/10/31.387,'07:03:44.440,+59:32:41.40,0.04,17,---,---,3.42,Ia,WISEA J070344.86+593242.4,ZTF,No
2018hrt,2018hrt,2018/10/31.269,'02:38:27.850,+29:45:32.44,0.016945,15.6,---,16.66,6.306313426,Ia,UGC 02122,ATLAS,Yes
2018htf,2018htf,2018/11/03.244,'03:00:35.000,+11:50:39.40,0.026,16.6,---,17.3,5.4,II,NGC 1166,Tim Puckett et al.,Yes
2018hti,2018hti,2018/11/02.517,'03:40:53.750,+11:46:37.29,0.063,17.1,---,16.81,0.2,SLSN-I,UNCATALOGUED,ATLAS,Yes
2018htq,2018htq,2018/11/02.288,'21:02:29.670,-06:38:59.35,0.04,17.2,---,16.44,0.36,Ia,WISEA J210229.63-063858.5,ATLAS,Yes
2018htt,2018htt,2018/10/31.353,'03:06:02.900,-15:36:41.69,0.008673,15.1,---,14.01,2.101595689,Ia,NGC 1209,ZTF,No
2018htu,2018htu,2018/11/01.463,'10:47:35.240,+41:42:53.63,0.06,18,---,---,3.3,Ia,WISEA J104734.98+414251.5,ZTF,No
2018htw,2018htw,2018/10/09.169,'22:08:49.700,+38:09:04.93,0.02,16,15.779,---,15.2,Ia,2MASS J22085077+3809015,ZTF,No
2018hug,2018hug,2018/11/01.125,'21:18:50.620,+02:15:42.19,0.019,17.9,---,---,1.4,II,MRK 0513,ZTF,No
2018huw,2018huw,2018/11/01.244,'00:39:12.220,-05:12:02.50,0.025,17.7,16.48,16.62,1,Ia,WISEA J003912.28-051201.9,ZTF,Yes
2018huy,2018huy,2018/11/01.516,'08:32:44.010,+31:11:00.49,0.0883,18,---,---,1.5,Ia,WISEA J083244.04+311058.6,ZTF,No
2018hva,2018hva,2018/11/01.092,'18:38:52.620,+40:40:58.41,0.05,17.7,---,---,3.78,Ia,WISEA J183852.81+404101.2,ZTF,No
2018hyw,2018hyw,2018/09/14.052,'08:20:17.380,+20:52:32.20,0.016815,15.3,---,---,11.52827608,IIb,UGC 04344,MASTER,Yes
2018hyy,2018hyy,2018/11/03.343,'02:31:55.410,+03:07:33.75,0.029,17.5,---,16.96,2.8,Ia,WISEA J023155.28+030731.7,ZTF,No
2018hzd,2018hzd,2018/11/05.385,'23:37:00.960,+21:25:53.08,0.05,18,---,17.761,46.2,Ia,WISEA J233700.46+212507.4,ATLAS,No
2018hzh,2018hzh,2018/11/05.533,'04:07:12.870,-37:03:09.83,0.035,17.8,---,16.91,8.8,Ia,GALEXASC J040712.14-370303.8,ATLAS,Yes
2018ids,2018ids,2018/11/05.308,'21:16:11.360,+11:56:46.45,0.036,17.4,---,16.46,1.14,Ia,WISEA J211611.13+115646.7,ATLAS,Yes
2018ie,2018ie,2018/01/18.504,'10:54:01.060,-16:01:21.40,0.014233,16.6,---,16.878,37.27626086,Ic,NGC 3456,LOSS,Yes
2018iet,2018iet,2018/11/03.193,'00:56:21.620,-02:30:13.54,0.06,18,---,17.933,1.6,Ia,WISEA J005621.64-023011.9,ZTF,No
2018if,2018if,2018/01/18.800,'09:14:23.840,+49:35:32.90,0.031,17.6,---,---,0.6,Ic-BL,WISEA J091423.83+493533.0,TNTS,No
2018igt,2018igt,2018/11/04.510,'13:04:28.980,+79:03:02.06,0.032,17.5,---,---,2.04,Ia,WISEA J130429.75+790302.7,ZTF,No
2018igw,2018igw,2018/11/04.149,'21:14:20.070,+21:32:36.79,0.045,17.8,---,---,0.7,Ia,II Zw 109,ZTF,No
2018ihm,2018ihm,2018/11/09.244,'18:44:14.010,+32:07:39.18,0.055,17.7,---,---,4.7,IIn,WISEA J184413.66+320740.7,ATLAS,No
2018ihs,2018ihs,2018/11/09.471,'02:28:13.650,+26:03:36.65,0.029,16.7,---,---,5.014768397,Ia,2MFGC 01926,ATLAS,Yes
2018ikg,2018ikg,2018/11/07.142,'23:08:16.080,+22:42:43.78,0.036,17.1,---,---,1.9,Ia,WISEA J230815.98+224245.1,ZTF,No
2018ilu,2018ilu,2018/11/12.367,'23:33:20.980,+04:48:34.66,0.0179,15.5,---,15.39,6.3,Ia,WISEA J233320.81+044840.0,ATLAS,Yes
2018imd,2018imd,2018/11/14.863,'12:48:24.950,-05:47:39.20,0.005,15.5,---,16.582,164.7898843,Ia,NGC 4697,Koichi Itagaki,Yes
2018imf,2018imf,2018/11/14.865,'12:42:41.390,+13:15:55.00,0.0036,15.8,---,---,11.7,IIP,VCC 1931,Koichi Itagaki,Yes
2018inf,2018inf,2018/11/15.517,'13:31:56.100,+44:08:21.69,0.033569,17.7,---,---,4.2,Ia,MCG +07-28-026,ZTF,No
2018iq,2018iq,2018/01/19.494,'09:05:59.780,+35:22:24.00,0.0235,16.1,---,15.88,15.19067796,Ia,NGC 2746,Koichi Itagaki,Yes
2018iqo,2018iqo,2018/11/15.517,'13:37:48.810,+41:21:52.19,0.055,18,---,16.804,0.7,Ia-91T,SDSS J133748.83+412152.8,ZTF,No
2018iqy,2018iqy,2018/11/19.049,'11:56:27.110,+03:46:13.10,0.022496,16.7,---,---,20.1134058,Ia,CGCG 041-009,MASTER,No
2018is,2018is,2018/01/20.642,'13:16:57.35,-16:37:04.43,0.005811,17.5,---,17.737,63.24,II,NGC 5054,DLT40,No
2018iso,2018iso,2018/11/05.537,'12:27:16.630,+35:48:02.26,0.03332,16.6,---,---,5,Ia,SDSS J122717.03+354802.9,ZTF,Yes
2018isq,2018isq,2018/11/20.293,'03:16:50.600,+80:47:04.50,0.007599,15.6,---,16.46,34.21944453,Ia,NGC 1184,Tim Puckett et al.,Yes
2018iui,2018iui,2018/11/18.517,'07:31:12.540,+53:41:53.62,0.0493,18,---,17.61,1.6,Ia,WISEA J073112.64+534152.3,ZTF,Yes
2018iuq,2018iuq,2018/11/21.374,'07:05:53.440,+12:53:34.69,0.028,17.4,---,---,3.1,IIb,WISEA J070553.39+125332.2,ZTF,No
2018iuu,2018iuu,2018/11/21.432,'11:27:21.216,+59:37:48.26,0.017,15.3,---,15.36,19.58600115,Ia,UGC 06452,ZTF,Yes
2018ivc,2018ivc,2018/11/24.074,'02:42:41.290,-00:00:31.71,0.003793,13.2,---,---,18.2818335,II,MESSIER 077,DLT40,No
2018izd,2018izd,2018/11/21.364,'07:02:54.630,+33:50:15.37,0.03,16.6,---,16.48,1.05,Ia,PSO J105.7276+33.8378,ZTF,No
2018jag,2018jag,2018/11/25.441,'01:03:48.310,+10:35:32.50,0.03983,17.9,---,18.016,30.48,Ia-91bg,MCG +2-3-30,TNTS,No
2018jai,2018jai,2018/11/20.366,'07:53:48.790,+02:25:07.74,0.05,18,---,---,1.9,Ia-pec,2MFGC 06264,ZTF,No
2018jao,2018jao,2018/11/26.265,'21:50:11.260,-03:41:32.58,0.028,17.7,---,---,11.28,Ia-91T,WISEA J215010.55-034127.6,ATLAS,Yes
2018jaw,2018jaw,2018/11/20.507,'12:54:04.110,+13:32:47.85,0.037,17.8,---,---,3,Ic,WISEA J125404.15+133244.9,ZTF,No
2018jax,2018jax,2018/11/20.510,'13:45:57.840,+28:47:45.27,0.035,16.2,---,16.52,3,Ia-91T,SDSS J134558.03+284746.6,ZTF,Yes
2018jaz,2018jaz,2018/11/20.510,'13:39:20.090,+34:41:19.71,0.023118,16.1,---,15.781,3.1,Ia,WISEA J133920.11+344116.9,ZTF,Yes
2018jbl,2018jbl,2018/11/26.513,'13:10:42.310,+12:40:37.09,0.03586,17.9,---,---,11.4,Ia,WISEA J131042.96+124031.5,ZTF,No
2018jfb,2018jfb,2018/11/25.483,'11:27:27.262,+33:37:02.35,0.05,17.2,---,17.41,8.739094097,Ia,KUG 1124+338,ZTF,No
2018jfn,2018jfn,2018/11/28.467,'10:26:03.402,+64:50:12.01,0.036789,18,---,16.84,1.8,Ia,WISEA J102603.48+645010.3,ZTF,Yes
2018jfp,2018jfp,2018/11/28.341,'03:17:56.277,-00:10:10.94,0.023,17.9,---,---,12.1,II,NGC 1280,ZTF,Yes
2018jft,2018jft,2018/11/28.267,'22:30:12.022,+38:48:59.39,0.05,17.8,---,17.62,3.3,II,WISEA J223012.21+384858.0,ATLAS,No
2018jhf,2018jhf,2018/11/29.065,'00:35:54.720,-75:38:15.70,0.058,18,---,17.72,0.4,Ia-91T,WISEA J003554.75-753815.2,OGLE,Yes
2018jj,2018jj,2018/01/14.271,'00:58:28.100,-05:52:32.97,0.038,17,---,---,0.7,Ia,UNCATALOGUED,ATLAS,No
2018jkb,2018jkb,2018/12/02.404,'02:21:09.813,-04:04:23.68,0.021,17.1,---,17.08,36.66,II,GALEXASC J022111.99-040443.2,ATLAS,Yes
2018jmo,2018jmo,2018/12/06.636,'06:51:20.470,+45:38:41.10,0.02,16.8,---,16.696,33.66,Ia,2MASX J06512361+4538445,TNTS,Yes
2018jmt,2018jmt,2018/12/08.278,'06:54:47.100,-59:30:10.80,0.036,16.5,---,16.88,8.04,Ibn,WISEA J065446.43-593016.0,MASTER,Yes
2018jnc,2018jnc,2018/12/06.635,'11:02:24.548,-06:42:06.56,0.031,16.8,---,16.88,1.077348942,Ia,LCRS B105952.8-062557,ATLAS,Yes
2018jny,2018jny,2018/12/03.463,'09:24:37.747,+25:23:42.36,0.041,16.9,---,16.85,11.7,Ia,SDSS J092438.14+252352.7,ZTF,Yes
2018jof,2018jof,2018/11/28.526,'12:04:17.112,+38:59:56.29,0.07,17.6,---,---,5.1,Ia,WISEA J120417.20+390001.4,ZTF,No
2018jpl,2018jpl,2018/12/09.619,'13:44:22.057,+14:19:32.04,0.04045,17.7,---,---,12.7,Ia,CGCG 102-047,ATLAS,No
2018jpn,2018jpn,2018/12/04.218,'02:44:08.213,-09:27:06.01,0.03013,16.9,---,17.05,3.640841307,Ia,NGC 1078,ZTF,Yes
2018jpq,2018jpq,2018/12/04.221,'02:29:14.698,-05:36:11.78,0.03,17.8,---,17.9,2.3,II,LCSB S0395P,ZTF,No
2018jq,2018jq,2018/01/21.124,'12:56:48.381,+03:53:27.24,0.025,17.9,---,---,0.7,Ib,WISEA J125648.33+035327.1,Gaia,No
2018jqp,2018jqp,2018/12/08.229,'14:56:30.728,+23:50:01.68,0.036,17.8,---,---,5.8,Ia,2MASX J14563114+2350039,Gaia,No
2018jsn,2018jsn,2018/12/12.649,'11:59:56.990,-00:33:01.33,0.022,17.7,---,---,13.4,II,CGCG 013-032,ATLAS,No
2018K,2018K,2018/01/03.135,'01:50:50.480,+48:21:13.70,0.022,17.2,---,---,22.13708651,Ia-91T,UGC 01303,Tim Puckett et al.,No
2018kax,2018kax,2018/12/17.379,'03:28:52.234,-21:53:20.23,0.0511,17.6,---,17.51,2.3,Ia-91T,WISEA J032852.05-215319.4,ATLAS,Yes
2018kbd,2018kbd,2018/12/13.513,'14:05:32.286,+55:18:36.69,0.0514,17.7,---,---,5.1,Ia,SDSS J140532.61+551840.8,ZTF,No
2018kbe,2018kbe,2018/12/13.512,'14:16:27.528,+65:31:30.58,0.03,17.6,---,17.31,0.9,Ia,WISEA J141627.51+653131.5,ZTF,No
2018kbh,2018kbh,2018/12/10.512,'14:57:09.307,+52:20:51.45,0.02586,17.7,---,16.91,18.7,Ia,UGC 09629,ZTF,Yes
2018kc,2018kc,2018/01/17.592,'10:30:58.440,+23:47:18.25,0.064,17.6,---,17.484,11.4,Ia,WISEA J103059.27+234718.8,ATLAS,No
2018kdx,2018kdx,2018/12/12.512,'12:08:03.347,+39:14:42.38,0.032,17.6,---,16.76,11.7,Ia,SDSS J120802.48+391436.2,ZTF,Yes
2018ke,2018ke,2018/01/17.635,'13:08:39.530,-41:27:16.04,0.01,17.7,---,---,28.1,II,ESO 323- G 085,ATLAS,No
2018kfn,2018kfn,2018/12/17.151,'16:02:42.474,+15:14:11.26,0.0154,17.4,---,---,2.885831934,II,KUG 1600+153,Gaia,No
2018kfs,2018kfs,2018/12/09.551,'15:21:28.858,+15:08:20.59,0.022602,16.3,---,---,5.742493273,Ia,CGCG 106-033,ZTF,No
2018kgk,2018kgk,2018/12/18.640,'13:49:37.718,-06:06:22.28,0.035,17.7,---,---,6.8,Ia,LCRS B134701.3-055131,ATLAS,No
2018khk,2018khk,2018/12/10.493,'13:46:19.290,+14:10:51.75,0.0599,17.8,---,---,2.7,Ia,WISEA J134619.48+141050.7,ZTF,No
2018kji,2018kji,2018/12/17.158,'15:26:18.280,+08:57:09.20,0.037,16.7,---,16.72,15.10157277,Ia,WISEA J152618.95+085721.7,MASTER,Yes
2018kmu,2018kmu,2018/12/20.473,'14:41:32.924,+48:12:14.42,0.018,16.4,---,16.45,0.9,Ia,SDSS J144132.85+481214.9,ZTF,Yes
2018kp,2018kp,2018/01/24.362,'10:46:33.060,+13:44:31.00,0.010142,15.7,---,16.42,42.29100231,Ia,NGC 3367,CRTS,Yes
2018kpo,2018kpo,2018/12/24.372,'03:40:43.054,-06:25:24.14,0.017,16.9,---,17.067,29.54082442,II,MCG -01-10-019,ATLAS,Yes
2018kss,2018kss,2018/12/22.328,'06:46:23.869,+43:49:27.78,0.021,17.9,---,16.4,2.2,Ia,UGC 03535,ZTF,Yes
2018ktv,2018ktv,2018/12/24.532,'16:32:03.767,+39:36:29.96,0.0281,17,---,---,2,IIL,WISEA J163203.83+393631.7,ZTF,No
2018kut,2018kut,2018/12/21.628,'10:26:32.781,-25:29:31.68,0.041,17.6,---,17.23,0.9,Ia,ESO 500- G 039,ATLAS,Yes
2018kv,2018kv,2018/01/25.900,'13:43:59.930,+30:56:01.00,0.077,17.8,---,17.49,5.5,Ia,WISEA J134400.00+305555.7,TNTS,No
2018kxz,2018kxz,2018/12/19.553,'12:02:18.669,+59:15:24.13,0.055168,17.5,---,---,5.5,Ia,WISEA J120219.32+591522.2,ZTF,No
2018kyi,2018kyi,2018/12/27.453,'07:07:09.504,+26:19:29.73,0.0214,16.6,---,16.73,0.7,Ia,WISEA J070709.55+261930.2,ATLAS,Yes
2018kzc,2018kzc,2018/12/27.960,'06:28:58.250,+38:43:31.00,0.0378,17.5,---,17.13,6.7,Ia,WISEA J062858.80+384334.1,Herman Mikuz (PIKA),No
2018las,2018las,2018/12/24.503,'10:59:52.228,+19:47:41.81,0.027,17.8,---,17.553,0.7,Ia-pec,WISEA J105952.23+194741.7,ZTF,Yes
2018lcd,2018lcd,2018/12/29.680,'01:51:10.810,-03:29:26.87,0.007,16.4,---,16.61,30.75211521,II,MCG -01-05-042,Corona Borealis Observatory Supernova Survey (CSNS),Yes
2018ld,2018ld,2018/01/24.691,'07:04:38.279,-23:35:27.78,0.01,17.3,---,---,9.332533065,IIP,CGMW 2-0356,Gaia,No
2018ldi,2018ldi,2018/12/22.127,'00:55:26.432,-12:08:45.85,0.07,17.9,---,---,2.7,Ia,WISEA J005526.20-120844.9,ZTF,No
2018liq,2018liq,2018/12/30.217,'04:50:28.004,+08:47:51.97,0.034,17.3,---,---,6.3,Ic,WISEA J045028.05+084757.7,ZTF,No
2018lkg,2018lkg,2018/12/30.792,'07:06:34.760,+63:50:56.90,0.014217,15.7,---,16.9,0.939550876,IIn,UGC 03660,MASTER,Yes
2018lq,2018lq,2018/01/27.250,'01:47:11.686,+18:47:55.07,0.07,17.8,---,---,6.24,Ia,WISEA J014711.64+184801.3,Gaia,No
2018lqy,2018lqy,2018/08/28.390,'01:11:23.323,+13:09:36.35,0.019,17,---,---,1.1,Ia,WISEA J011123.29+130936.7,ZTF,No
2018lrd,2018lrd,2018/01/10.615,'11:28:30.413,+58:33:44.04,0.00999,17.1,---,---,14.8,Ib,NGC 3690,ATLAS,No
2018nq,2018nq,2018/01/25.317,'01:57:20.440,+40:36:08.96,0.01,16.8,---,---,167.22,II,WISEA J015722.77+403854.0,ATLAS,No
2018pc,2018pc,2018/02/03.414,'09:28:55.170,+49:14:17.30,0.009,15.2,---,15.24,2.467288616,Ia,UGC 05049,TNTS,Yes
2018ph,2018ph,2018/02/05.392,'08:11:02.300,+05:05:13.90,0.03,16.4,---,16.62,10.44689645,Ia,IC 2231,Tim Puckett et al.,Yes
2018pn,2018pn,2018/02/05.600,'07:56:11.300,+45:31:36.40,0.048,17.9,---,---,2.5,IIP,WISEA J075611.44+453138.3,TNTS,No
2018pv,2018pv,2018/02/03.631,'11:52:55.763,+36:59:10.36,0.0031,12.7,---,12.9,4.850292562,Ia,NGC 3941,Masaki Tsuboi,Yes
2018rz,2018rz,2018/01/24.862,'14:27:11.440,-02:16:10.07,0.02,18,---,---,26,IIP,NGC 5618,Italian Supernovae Search Project,No
2018wh,2018wh,2018/02/12.721,'20:47:17.631,-84:37:27.72,0.05,17.7,---,---,1,Ib/Ic,WISEA J204717.35-843728.8,Gaia,No
2018xi,2018xi,2018/02/04.859,'06:50:15.190,+27:08:23.80,0.03,16.5,---,---,11.52,Ia,WISEA J065015.48+270834.9,MASTER,No
2018xx,2018xx,2018/02/21.382,'12:53:48.238,-39:41:49.16,0.00999,15.1,14.53,14.5,82.7397361,Ia,NGC 4767,DLT40,Yes
2018yn,2018yn,2018/02/23.430,'11:46:13.030,+20:23:18.60,0.023,18,---,---,16.4,Ic,NGC 3884,Tim Puckett et al.,No
2018yo,2018yo,2018/02/26.424,'12:41:11.140,-01:35:20.40,0.0134,17.4,---,---,8.017380427,IIP,UGC 07840,CRTS,Yes
2018yu,2018yu,2018/03/01.223,'05:22:32.360,-11:29:13.87,0.008,13.9,13.95,13.98,54.01494145,Ia,NGC 1888,DLT40,Yes
2018zd,2018zd,2018/03/02.486,'06:18:03.180,+78:22:00.90,0.003,13.3,---,13.651,110.4226143,IIn,NGC 2146,Koichi Itagaki,Yes
2018zs,2018zs,2018/03/02.576,'16:01:49.020,+47:23:26.59,0.06,17.9,---,---,10.6,Ia,CGCG 250-037,PS1,No
2019aah,2019aah,2019/01/22.548,'15:01:30.715,+04:52:41.82,0.03,17.6,---,17.5,2.6,II,WISEA J150130.52+045242.4,ZTF,Yes
2019aai,2019aai,2019/01/20.513,'16:32:20.734,+19:50:24.65,0.008,17.8,---,---,48.9,II,NGC 6181,ZTF,No
2019aax,2019aax,2019/01/24.519,'12:17:05.631,-26:37:44.95,0.013,16.6,---,---,20.26650654,II,WISEA J121706.47-263726.0,ATLAS,Yes
2019abb,2019abb,2019/01/25.192,'07:54:17.265,+14:16:22.63,0.0153,17.9,---,---,3,Ic,CGCG 058-066,ZTF,No
2019agm,2019agm,2019/01/28.504,'16:36:45.603,+18:41:14.82,0.037,17.4,---,---,5.8,Ia,WISEA J163645.36+184118.5,ZTF,Yes
2019ago,2019ago,2019/01/28.505,'17:01:04.345,+25:52:11.69,0.038622,17.3,---,---,4.169887301,Ia,WISEA J170104.48+255208.1,ZTF,No
2019ahg,2019ahg,2019/01/29.591,'13:31:48.005,-02:36:31.00,0.020257,17.9,---,17.9,14.3,Ic,IC 0893,ATLAS,No
2019ahs,2019ahs,2019/01/26.481,'12:01:42.927,+20:24:13.69,0.023,16.3,---,16.32,14.9,Ia,WISEA J120141.91+202418.4,ZTF,Yes
2019aik,2019aik,2019/01/30.921,'10:37:38.360,+37:27:29.70,0.023,15.6,---,15.87,10.80941395,Ia,NGC 3304,XOSS,Yes
2019ako,2019ako,2019/02/01.349,'06:13:56.291,-38:02:23.82,0.029,17,---,16.86,6.8,Ia,WISEA J061356.56-380229.0,ATLAS,Yes
2019akq,2019akq,2019/02/03.307,'04:26:49.330,+29:57:06.30,0.017459,16.4,---,16.89,16.35439441,Ia,UGC 03044,ATLAS,Yes
2019apd,2019apd,2019/02/05.604,'13:15:48.707,-24:15:23.56,0.032703,17.2,---,16.82,5.773374028,Ia,ESO 508- G 032,PS1,Yes
2019aqn,2019aqn,2019/02/08.641,'15:33:36.041,+01:23:35.89,0.038,17.7,---,---,4.5,II,WISEA J153336.01+012340.3,ATLAS,No
