HostName,Redshift,SNName,Type,Offset,Av,NUVmag,,umag,,gmag,,rmag,,imag,,zmag,,ymag,,Jmag,,Hmag,,Kmag,,W1mag,,W2mag,
WISEA J150723.23+382513.3,0.029012,2018aab,Ia,14.7,0.033,20.8217,0.1933,17.832,0.017,16.13439941,0.00158,15.36550045,0.001058,15.02079964,0.001002,14.87199974,0.001469,14.64710045,0.003315,16.283,0.113,15.664,0.147,15.248,---,12.748,0.023,12.783,0.024
SDSS J122134.19+553427.7,'---,2018aae,Ia,0.18,0,22.162,0.4341,20.868,0.173,20.80069923,0.037976,20.5359993,0.035732001,20.63960075,0.049281001,20.70050049,0.081610002,20.83609962,0.209517002,---,---,---,---,---,---,17.063,0.084,16.874,0.253
WISEA J170715.29-642446.2,'---,2018aau,Ia,9.6,0.553,---,---,---,---,---,---,---,---,---,---,---,---,---,---,14.582,0.057,13.816,0.066,13.433,0.061,11.539,0.024,11.642,0.022
NGC 3158,0.023086,2018aaz,Ia-91bg,27.37594385,0.037,17.6176,0.0529,14.673,0.005,13.1274004,0.000378,12.51609993,0.000214,12.0092001,0.000136,11.76760006,0.000215,11.71479988,0.000415,11.846,0.032,11.097,0.03,10.676,0.029,9.833,0.023,9.856,0.02
WISEA J140700.01-151524.9,0.035418,2018aby,Ia,10.4,0.317,18.3968,0.0545,18.098,0.039,16.47570038,0.003527,15.97000027,0.002471,15.75640011,0.002271,15.72809982,0.004074,15.59140015,0.007055,16.44,0.184,14.748,---,15.089,0.187,14.031,0.027,13.837,0.038
UGC 08733,0.007789,2018acj,IIP,27.54,0,---,---,15.759,0.013,20.1345005,0.020056,18.68199921,0.015892001,14.84309959,0.001884,14.65639973,0.002973,13.91549969,0.003934,---,---,---,---,---,---,13.801,0.026,13.712,0.032
UGC 04139,0.016301,2018afm,II,27.54794929,0.069,---,---,16.175,0.015,14.61120033,0.001031,11.62590027,0.000191,18.04290009,0.002277,14.05930042,0.001825,14.14400005,0.003393,15.727,0.119,15.113,0.168,14.06,---,13.312,0.027,13.238,0.033
WISEA J064040.46-631937.7,'---,2018agj,Ia-91T,1.320547462,0.257,17.9075,0.0259,---,---,---,---,---,---,---,---,---,---,---,---,15.792,0.146,15.336,0.17,14.657,0.158,13.449,0.024,13.22,0.022
UGC 09620,0.015642,2018ahe,IIP,24.9,0.053,16.4124,0.0201,16.24,0.01,18.24570084,0.004512,17.64679909,0.003236,13.82400036,0.000938,13.85470009,0.001295,13.51000023,0.001964,14.801,0.148,14.202,0.15,13.761,0.117,12.163,0.024,12.092,0.023
NGC 5644,0.025517,2018ahq,Ia,19.2563263,0,18.6861,0.0934,15.201,0.006,13.48820019,0.000415,12.72469997,0.000256,12.32680035,0.000174,12.13010025,0.000398,11.87360001,0.000611,12.045,0.033,11.138,0.03,10.927,0.03,10.218,0.022,10.262,0.02
WISEA J154736.27-102736.5,'---,2018akb,Ia,3.96,0.841,20.22,0.1981,---,---,17.4762001,0.007055,16.79319954,0.005353,16.51309967,0.004439,16.35269928,0.00796,16.14380074,0.011646,---,---,---,---,---,---,14.618,0.032,14.389,0.053
UGC 04870,0.014182,2018amb,II,5.346675032,0.009,---,---,15.737,0.007,13.99540043,0.000801,13.38449955,0.000587,13.08590031,0.000425,16.91519928,0.002475,16.57859993,0.003895,13.284,0.053,12.489,0.046,12.209,0.042,10.862,0.023,10.705,0.02
WISEA J150925.65+252815.3,0.022019,2018ame,Ia-pec,2.9,0.129,18.6344,0.0794,18.05,0.025,17.1746006,0.003617,16.74600029,0.003298,16.64010048,0.003268,16.5984993,0.006687,16.58309937,0.011198,15.099,0.088,14.494,0.112,14.151,0.094,14.789,0.028,14.751,0.044
UGC 10295,0.022565,2018anh,II,10.7,0.053,17.398,0.0316,16.755,0.017,15.61859989,0.002355,15.11069965,0.001555,14.84160042,0.001519,14.93050003,0.002822,14.92560005,0.00594,---,---,---,---,---,---,14.206,0.032,14.098,0.045
