HostName,Redshift,SNName,Type,Offset,Av,NUVmag,,umag,,gmag,,rmag,,imag,,zmag,,ymag,,Jmag,,Hmag,,Kmag,,W1mag,,W2mag,
MCG -02-22-022,0.019704,2018ant,II,26.9,0.237,---,---,---,---,16.92749977,0.005193,17.11669922,0.006203,14.61750031,0.001218,14.61830044,0.00261,14.28209972,0.004137,15.459,0.144,14.615,0.178,14.131,0.133,12.669,0.025,12.593,0.026
KUG 1621+394,0.016981,2018anx,II,6.409933886,0,17.4402,0.0217,16.699,0.016,15.80249977,0.002303,15.33870029,0.001618,15.24330044,0.001606,15.09799957,0.002556,15.12139988,0.005768,---,---,---,---,---,---,14.051,0.027,13.924,0.035
CGCG 025-014 NED01,0.031058,2018any,Ia,19.5,0.329,---,---,---,---,16.27149963,0.002439,16.03009987,0.003576,15.44320011,0.001386,15.06130028,0.002335,15.13300037,0.003999,15.699,0.133,14.946,0.14,14.394,0.141,13.004,0.026,12.81,0.027
NGC 4151,0.003326,2018aoq,II,73.2,0,---,---,13.935,0.003,11.57129955,0.0002,12.04179955,0.00091,11.09430027,0.000118,10.7791996,0.000156,10.49890041,0.000188,10.262,0.026,9.436,0.025,8.519,0.02,6.745,0.049,5.927,0.037
IC 1069,0.037559,2018aoy,Ia,16.73123914,0,19.9215,0.1873,16.214,0.009,14.41489983,0.000687,13.62650013,0.000442,13.26749992,0.000377,13.02089977,0.000509,12.78639984,0.001266,12.629,0.034,12.173,0.057,11.698,0.039,11.005,0.022,11.05,0.019
NGC 3923,0.005801,2018aoz,Ia,223.0995024,0.237,15.9695,0.0241,---,---,11.29090023,0.000141,10.60039997,0.000085,10.29389954,0.000064,10.04160023,0.000122,9.714079857,0.000149,11.464,0.127,10.942,0.167,10.391,0.121,8.47,0.022,8.456,0.02
NGC 2943,0.028039,2018apk,Ia,39.72,0.029,---,---,15.195,0.007,13.47949982,0.000476,12.71549988,0.000263,12.52530003,0.000302,12.63969994,0.000593,11.95230007,0.000867,13.086,0.09,12.509,0.138,12.235,0.094,10.692,0.023,10.756,0.021
LEDA 620583,'---,2018apm,Ia,10.36,0.44,19.1846,0.0991,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,14.642,0.03,14.547,0.049
NGC 4090,0.024354,2018aqh,Ia,38.87518637,0.024,17.2336,0.0395,15.752,0.009,14.40869999,0.000849,13.9460001,0.000616,13.3888998,0.000602,13.18350029,0.000661,12.92109966,0.001095,13.621,0.068,12.796,0.09,12.464,0.073,11.171,0.022,11.15,0.021
2MFGC 13255,0.032354,2018aqm,Ia,3.054720398,0,---,---,18.664,0.088,16.49920082,0.002584,15.57120037,0.002136,15.09930038,0.001327,14.82789993,0.002094,14.59599972,0.003615,14.89,0.102,14.115,0.134,13.474,0.087,12.245,0.023,12.137,0.021
NGC 3812,0.012012,2018ast,Ia-91bg,8.543061626,0.008,---,---,15.308,0.005,13.6093998,0.00066,12.68929958,0.000395,12.36299992,0.000233,12.16629982,0.000309,11.86550045,0.000608,12.131,0.08,11.38,0.094,11.018,0.058,10.03,0.022,10.1,0.02
WISEA J112512.47+693926.3,'---,2018auh,I,6.4,0.017,19.2227,0.0948,---,---,16.09569931,0.002762,15.39760017,0.001672,15.0447998,0.001166,14.86690044,0.00176,14.71370029,0.003528,14.645,0.078,13.965,0.089,13.553,0.066,12.67,0.022,12.609,0.024
MCG -01-22-018,0.040521,2018aup,Ia,11.53717896,0.125,19.4473,0.0971,16.255,0.016,14.33100033,0.000751,13.46430016,0.000488,12.98089981,0.000345,12.84790039,0.000694,12.67860031,0.001288,12.859,0.044,12.352,0.064,11.788,0.049,11.007,0.022,11.037,0.021
CGCG 159-107,0.046304,2018avg,Ia,14.6,0.032,17.5585,0.031,16.496,0.013,15.02880001,0.001077,14.38119984,0.000775,14.06620026,0.000661,14.02880001,0.001182,13.66139984,0.002052,14.452,0.084,13.994,0.106,13.504,0.087,12.312,0.024,12.272,0.024
WISEA J135905.57+581547.3,0.060602,2018avz,Ia,18.8,0,21.0643,0.1972,18.273,0.025,16.4477005,0.00252,15.67059994,0.00163,15.18369961,0.000824,15.00080013,0.001588,14.77519989,0.00423,14.353,0.05,13.604,0.063,13.196,0.051,12.521,0.023,12.546,0.023
WISEA J001614.11-313702.9,0.0701,2018awp,IIn,0.9,---,20.37,0.0768,---,---,---,---,---,---,---,---,---,---,---,---,16.775,0.145,16.283,0.201,15.302,0.184,16.344,0.069,16.2,0.195
UGC 03781 NED01,0.023817,2018azu,Ia,15.9,0.285,17.8582,0.0296,17.021,0.026,17.49410057,0.00398,15.3732996,0.001761,14.91160011,0.001579,14.7968998,0.002684,14.72840023,0.003883,15.255,0.078,14.631,0.087,14.45,0.096,13.06,0.025,12.968,0.029
WISEA J104242.24+255944.2,0.037163,2018bac,Ia,3.1,0.029,---,---,18.933,0.025,17.86420059,0.004808,17.49819946,0.004593,17.30559921,0.008379,17.26420021,0.006908,17.03809929,0.013787,16.608,0.15,16.038,0.192,15.581,---,15.044,0.034,14.748,0.064
ESO 068- G 013,0.011053,2018bbv,II,13.14,0.521,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
CGCG 300-036,0.027835,2018bbz,Ia,4.7,0.117,---,---,16.688,0.01,14.93420029,0.001017,14.1711998,0.00054,13.92409992,0.000433,13.53660011,0.000828,13.29539967,0.001545,13.398,0.052,12.666,0.063,12.255,0.041,11.245,0.099,11.575,0.021
WISEA J161422.13+355501.7,'---,2018bcc,Ibn,7,0.021,19.7502,0.1195,19.704,0.068,18.59429932,0.013472,18.37709999,0.009627,18.19389915,0.00811,18.13269997,0.013473,18.23460007,0.02987,---,---,---,---,---,---,16.199,0.051,16.336,0.179
WISEA J231433.31-245615.1,'---,2018bde,Ia,0.36,0.088,21.3333,0.2262,---,---,19.84950066,0.019254999,19.44599915,0.014331,19.21529961,0.01503,19.32710075,0.030393001,19.27099991,0.054412,16.739,0.138,15.83,0.177,15.622,0.222,17.118,0.135,17.17,0.513
SDSS J115937.07+273150.7,'---,2018bdg,Ia-91T,1.2,0.014,---,---,21.664,0.204,21.14699936,0.073592,21.0734005,0.050894,20.9470005,0.060399,21.25349998,0.124991998,21.48570061,0.193527997,---,---,---,---,---,---,---,---,---,---
IC 1129,0.021845,2018bek,IIn,16.32,0.057,---,---,---,---,13.91479969,0.000809,16.87030029,0.00159,13.10079956,0.000569,16.46929932,0.002393,13.77499962,0.003619,14.757,0.137,14.283,0.157,13.842,0.12,12.062,0.023,11.961,0.021
CGCG 263-049,0.031142,2018bgc,Ia,13.9,0.133,17.4862,0.0281,16.429,0.012,15.18270016,0.001564,14.59630013,0.001447,14.33889961,0.000819,14.17129993,0.001565,13.95049953,0.003289,15.106,0.142,14.624,0.159,14.01,0.128,12.537,0.024,12.449,0.026
SDSS J110230.41+553555.1,'---,2018bgv,SLSN-I,1.23,0.02,---,---,20.877,0.099,19.92740059,0.018108999,19.72470093,0.015725,19.26639938,0.012073,19.61190033,0.029735999,19.61849976,0.077114999,---,---,---,---,---,---,17.006,0.103,17.181,---
WISEA J145512.67-361359.3,'---,2018bgy,Ia,15.3,0.237,---,---,---,---,---,---,---,---,---,---,---,---,---,---,15.124,0.078,14.404,0.095,13.997,0.079,17.542,0.202,16.844,---
UGC 09544,0.034147,2018bgz,Ia,52.26,0.065,17.3103,0.025,15.657,0.007,14.25220013,0.000816,13.64430046,0.00056,13.29529953,0.000631,13.12279987,0.000796,12.87889957,0.001273,13.268,0.046,12.503,0.053,12.192,0.046,11.307,0.023,11.239,0.02
CGCG 021-098,0.053429,2018bhb,Ia,15.1,0.229,19.4669,0.0902,17.986,0.023,16.04540062,0.001904,15.28520012,0.001254,14.8579998,0.00123,14.60659981,0.001924,14.35499954,0.003063,14.604,0.103,13.976,0.156,13.372,0.099,12.012,0.022,11.929,0.022
WISEA J164625.30+252517.3,0.055964,2018bhc,Ia,0.1,0.165,---,---,19.773,0.057,17.91880035,0.004465,17.12750053,0.003158,16.78680038,0.003436,16.6072998,0.005498,16.47949982,0.009156,15.8,0.077,15.13,0.091,14.762,0.126,14.414,0.029,14.285,0.046
WISEA J164641.05+104848.2,'---,2018bhm,Ia,14.58,0.221,---,---,---,---,20.40620041,0.026590999,19.71960068,0.009688,19.50939941,0.013414,19.34329987,0.021292999,19.28660011,0.036316,16.673,0.133,16.212,0.22,15.112,---,17.787,0.201,17.417,---
UGC 01792,0.016628,2018bi,Ia,10.71499064,0.309,---,---,15.838,0.02,14.30230045,0.000905,13.4769001,0.000623,13.02939987,0.000561,12.90960026,0.001029,12.83010006,0.001894,14.37,0.072,13.762,0.099,13.535,0.096,12.005,0.026,11.964,0.025
CGCG 014-073 NED02,0.023133,2018bie,Ia-91T,14.3,0.05,19.1796,0.1051,17.547,0.016,16.6298008,0.002077,16.14049911,0.001864,15.87819958,0.001865,15.80609989,0.003059,15.70499992,0.004962,15.805,0.121,15.33,0.167,15.198,0.175,14.017,0.027,13.964,0.042
WISEA J183043.44+422152.7,'---,2018bih,IIn,8.7,0.201,18.9483,0.0889,18.743,0.039,17.39189911,0.00413,17.0489006,0.003688,16.84219933,0.002277,16.7628994,0.007128,16.74839973,0.014797,---,---,---,---,---,---,15.08,0.031,14.938,0.052
WISEA J113302.76+624447.5,0.048253,2018bio,Ia,10.4,0.005,21.1417,0.3157,17.355,0.017,15.57139969,0.001823,14.79380035,0.001022,14.38399982,0.000884,14.21150017,0.001417,14.00559998,0.002288,14.57,0.082,13.874,0.08,13.503,0.081,12.24,0.023,12.266,0.023
WISE J162555.25+404647.9,0.029668,2018bja,Ib,7.3,0.005,18.8813,0.05,17.988,0.025,16.69249916,0.002974,16.38969994,0.002394,16.03039932,0.001651,15.82349968,0.003732,15.65229988,0.006784,---,---,---,---,---,---,14.324,0.037,14.171,0.047
ESO 018- G 009,0.017816,2018bl,II,22.55601435,0.385,---,---,---,---,---,---,---,---,---,---,---,---,---,---,13.747,---,13.09,---,13.649,0.143,10.995,0.023,9.756,0.02
2MASX J14542432+7310428,'---,2018blb,IIP,2.5,0.021,18.0523,0.053,---,---,16.24119949,0.003883,15.74050045,0.004083,15.58720016,0.004104,15.59449959,0.006136,15.29199982,0.00796,15.715,---,15.415,0.169,14.655,---,14.738,0.032,14.563,0.043
WISEA J141715.78+591640.1,0.036548,2018bpd,Ia,8.1,0.033,19.7766,0.0974,19.323,0.073,18.46310043,0.014472,17.74819946,0.009884,17.69599915,0.007774,17.53680038,0.013287,18.69330025,0.052549001,15.292,0.083,14.555,0.084,14.368,0.102,15.95,0.043,15.753,0.092
WISEA J073316.79-111355.2,'---,2018bqi,Ia,15.7,---,---,---,---,---,16.2989006,0.003067,15.46039963,0.002115,14.90250015,0.001894,14.68260002,0.002599,14.25730038,0.004454,14.739,0.064,13.578,---,13.066,---,12.76,0.026,12.758,0.027
WISEA J145728.23+055038.5,0.058622,2018bsn,Ia,9,0.085,20.9313,0.1868,17.823,0.02,15.94820023,0.001656,15.23569965,0.001468,14.85499954,0.000806,14.6260004,0.001221,14.44690037,0.002289,14.243,0.081,13.473,0.09,13.008,0.06,12.481,0.032,12.436,0.033
WISEA J163542.95+044933.4,'---,2018bsq,Ia,2.94,0.329,---,---,21.748,0.392,20.05209923,0.022382,19.72299957,0.022667,19.33189964,0.019649999,19.45050049,0.031319998,19.4109993,0.060001001,14.95,0.088,14.046,0.09,13.169,---,17.431,0.154,17.36,---
ESO 101- G 020,0.019497,2018bta,Ia,20.21865275,0.705,---,---,---,---,---,---,---,---,---,---,---,---,---,---,13.303,0.09,12.493,0.073,11.963,0.059,10.789,0.023,10.708,0.02
CGCG 242-050,0.033864,2018btb,Ia,9.3,0,18.019,0.0408,16.574,0.012,15.12639999,0.001323,14.44099998,0.000966,14.09249973,0.000674,13.91959953,0.001351,13.70600033,0.002116,14.054,0.08,13.369,0.08,12.979,0.073,11.963,0.023,12.006,0.022
2MASX J18371244+3656083,'---,2018btl,IIP,8,0.169,---,---,---,---,16.09189987,0.002404,15.70440006,0.001991,15.55010033,0.001364,15.56050014,0.003435,15.45890045,0.006783,15.945,0.097,15.383,0.128,15.034,0.161,14.277,0.035,14.149,0.045
WISEA J155840.70+210703.1,0.049814,2018bwb,Ia,11.6,0.101,20.9233,0.2903,19.637,0.101,18.44829941,0.022459,17.87170029,0.010591,17.51709938,0.005727,17.51650047,0.011233,17.5223999,0.023406999,15.283,0.095,14.557,0.119,14.149,0.098,15.586,0.039,15.894,0.142
WISEA J145050.01-775257.9,'---,2018bwd,II,2.3,0.421,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,15.367,0.038,15.356,0.084
SDSS J152826.15+084822.8,'---,2018bwr,IIn,0.6,0.101,22.1593,0.4579,21.58,0.195,20.1882,0.024079001,20.24119949,0.028789001,20.10020065,0.030399,20.18460083,0.048413001,20.22330093,0.102013998,---,---,---,---,---,---,---,---,---,---
WISEA J125816.82+274346.9,0.068235,2018cbv,Ia,2.8,0.061,18.9637,0.0862,18.499,0.04,16.82690048,0.005174,16.23900032,0.00259,15.87860012,0.002424,15.72509956,0.003464,15.59599972,0.005507,15.703,0.08,14.795,0.086,14.686,0.095,13.625,0.025,13.446,0.032
IC 0908,0.022355,2018cbz,Ic,8.948280002,0.025,16.3012,0.0218,---,---,14.85389996,0.001301,14.46010017,0.001229,14.50819969,0.001414,14.43200016,0.001523,14.18120003,0.003141,15.418,0.1,14.864,0.133,14.378,0.131,12.953,0.024,12.804,0.026
CGCG 172-040,0.015811,2018ccb,II,11.1,0.637,18.7016,0.0897,---,---,15.38549995,0.001849,14.54220009,0.000984,14.29679966,0.000644,14.00529957,0.001554,13.96000004,0.00265,15.72,0.199,15.038,0.201,14.685,0.178,12.672,0.024,12.639,0.026
UGC 10404,0.026792,2018ccl,Ia,8.1,0.005,18.1559,0.0364,16.166,0.016,14.38150024,0.000994,13.69120026,0.000586,13.31120014,0.00042,13.09939957,0.000886,13.00360012,0.001654,13.959,0.063,13.245,0.086,12.828,0.05,11.817,0.023,11.835,0.021
MCG +09-20-146,0.033914,2018cdt,Ia,14.67757899,0.009,20.5591,0.158,16.876,0.012,14.97560024,0.001001,14.25269985,0.000701,13.86149979,0.000476,13.64109993,0.000951,13.36380005,0.00196,13.418,0.047,12.604,0.046,12.249,0.039,11.63,0.023,11.695,0.021
NGC 7775,0.022549,2018cew,Ib,9.590516493,0.153,---,---,15.208,0.006,17.07749939,0.003581,13.54230022,0.00077,13.39309978,0.000636,13.73579979,0.001324,13.41240025,0.002154,14.349,0.055,13.579,0.072,13.449,0.071,11.825,0.025,11.635,0.022
WISEA J164939.30+452933.8,'---,2018cfa,Ia,1.6,0.005,---,---,19.704,0.07,18.03520012,0.006193,17.38439941,0.004894,17.13549995,0.003422,16.99020004,0.006356,16.93090057,0.011759,13.189,0.024,12.571,0.021,12.341,0.031,15.073,0.03,15.22,0.055
WISEA J204020.22-180108.3,'---,2018cfw,Ia,3.5,0.149,19.2372,0.0673,---,---,16.94249916,0.003486,16.40819931,0.002718,16.07760048,0.001565,15.96780014,0.003803,15.7840004,0.008417,---,---,---,---,---,---,13.502,0.027,13.416,0.036
MCG +08-02-017,'---,2018cgq,IIP,11.01180028,0.701,---,---,---,---,17.11499977,0.004518,16.88269997,0.004074,15.50279999,0.002638,15.54080009,0.004307,15.48939991,0.006788,16.226,0.173,14.88,---,15.189,0.19,13.999,0.026,13.839,0.034
IC 0004,0.016688,2018cho,IIP,10.3,0.081,16.6162,0.0167,15.041,0.007,13.98449993,0.000715,13.40149975,0.000476,13.12880039,0.000463,12.93570042,0.000842,12.75800037,0.001372,14.018,0.065,13.34,0.08,13.128,0.088,11.453,0.023,11.277,0.021
WISEA J155739.63+783646.3,'---,2018cim,Ib,2.5,0.145,18.6703,0.0667,---,---,17.1753006,0.004491,16.91410065,0.00265,16.83340073,0.003073,16.78790092,0.005931,16.63089943,0.010517,16.018,0.105,15.288,0.121,14.972,0.13,14.203,0.024,13.774,0.028
WISEA J150122.87-101055.7,'---,2018cni,Ia-pec,5.4,0.337,---,---,---,---,18.66580009,0.007754,18.34059906,0.005615,18.16279984,0.003485,18.12439919,0.00773,18.07360077,0.016241999,---,---,---,---,---,---,16.482,0.082,16.588,0.331
WISEA J021002.41+370212.7,0.025394,2018cnu,Ia,4.993646366,0.109,17.7811,0.0429,---,---,17.55060005,0.006152,17.26399994,0.007156,17.0958004,0.005751,17.06749916,0.012071,17.24640083,0.020702001,14.856,0.059,14.048,0.06,13.722,0.059,15.743,0.046,15.689,0.123
NGC 6279,0.024167,2018cnw,Ia,37.17781739,0.017,19.9228,0.1876,16.242,0.01,14.23810005,0.000701,13.59599972,0.00046,13.00249958,0.000375,12.86229992,0.000634,12.52190018,0.000963,12.741,0.034,11.913,0.031,11.723,0.032,10.555,---,11.122,0.02
2MASX J15041569+3549001,0.047266,2018cny,Ia,12.5,0,19.9256,0.0709,18.213,0.031,16.53289986,0.003997,15.80090046,0.002358,15.40170002,0.00122,15.1864996,0.002423,14.9119997,0.003701,14.652,0.071,13.828,0.081,13.347,0.056,12.811,0.032,12.624,0.034
CGCG 137-068,0.014038,2018cow,Ic-BL,6.075883335,0.177,17.9237,0.0337,16.881,0.012,15.6850996,0.001832,15.09140015,0.001278,14.8696003,0.001238,14.68319988,0.002626,14.56700039,0.004396,15.549,0.118,14.084,---,13.797,---,13.154,0.025,13.141,0.028
WISEA J144746.13+324511.1,0.055564,2018cqa,Ia,5.7,0.02,19.7281,0.0875,18.698,0.034,17.55500031,0.005231,17.12479973,0.004824,16.86639977,0.003218,16.85790062,0.006475,16.83729935,0.011837,16.598,0.129,15.428,---,15.922,0.208,14.729,0.029,14.558,0.043
UGC 09155,0.042213,2018ctc,Ia,19.1,0,16.9021,0.0263,16.397,0.017,15.43200016,0.001755,12.03110027,0.000647,13.7954998,0.000695,14.01809978,0.001563,13.30290031,0.001974,14.896,0.059,14.103,0.067,13.915,0.064,12.929,0.024,12.884,0.025
WISEA J172431.44+702223.2,'---,2018cto,Ia,3.9,0.149,21.8565,0.3806,18.122,0.028,16.13890076,0.002082,15.36359978,0.001149,14.9076004,0.000883,14.66450024,0.001168,14.37180042,0.002397,13.683,0.034,12.945,0.037,12.605,0.041,12.109,0.022,12.104,0.021
ESO 297- G 036,0.037062,2018ctw,Ib-pec,13.53760729,---,16.703,0.0165,---,---,---,---,---,---,---,---,---,---,---,---,14.657,---,14.461,0.114,13.55,---,12.709,0.024,12.597,0.025
ESO 385- G 045,'---,2018cuh,Ia,17.28,0.449,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
UGC 07754,0.015243,2018cup,II,13.19705354,0.065,16.6417,0.0188,16.004,0.008,14.83780003,0.001482,14.50290012,0.000962,14.24660015,0.000966,14.1303997,0.001415,14.03419971,0.002599,15.21,0.095,15.009,0.158,14.377,0.104,12.875,0.025,12.772,0.025
NGC 4868,0.015561,2018cur,IIP,23.04,0,---,---,14.458,0.006,11.56910038,0.000105,11.60140038,0.000114,10.4005003,0.000041,11.01850033,0.00039,10.79220009,0.000238,13.162,0.046,12.365,0.045,12.144,0.053,10.709,0.023,10.53,0.021
WISEA J184614.46+355820.2,'---,2018cuw,Ia,12.9,0.321,---,---,---,---,16.70319939,0.003424,16.07909966,0.002592,15.85330009,0.001904,15.60439968,0.004163,15.55090046,0.009226,14.027,0.026,13.677,0.031,13.554,0.044,13.989,0.026,13.895,0.036
2MASX J15570268+3725001,0.030866,2018cvw,Ia,5,0.025,20.6446,0.2589,18.02,0.024,16.46870041,0.003414,15.7567997,0.001481,15.41860008,0.000893,15.16709995,0.002619,14.98390007,0.003521,14.836,0.058,14.163,0.062,13.934,0.071,13.438,0.033,13.44,0.037
WISEA J125127.50+203622.8,'---,2018cvx,Ia,0.6,0.037,21.3216,0.1731,20.615,0.107,19.63839912,0.016426001,19.06340027,0.01361,18.87999916,0.011938,18.78009987,0.020221001,18.71680069,0.033225998,---,---,---,---,---,---,16.586,0.069,16.515,0.242
SDSS J124243.95+340624.8,0.013885,2018cwa,IIP,1.5,0,---,---,22.155,0.223,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
WISEA J172101.96+260916.8,0.043794,2018cxe,Ia,10.2,0.229,18.9712,0.0756,18.502,0.029,17.32329941,0.003905,16.92149925,0.003678,16.76810074,0.004291,16.70759964,0.006604,16.68799973,0.011955,13.683,0.034,12.945,0.037,12.605,0.041,14.983,0.029,14.864,0.049
WISEA J145358.53+260005.6,0.04828,2018cxm,Ia,3.2,0.183,19.7374,0.069,18.719,0.037,17.77560043,0.005894,17.37380028,0.004976,17.1298008,0.004261,17.06979942,0.010349,16.97060013,0.017439,---,---,---,---,---,---,15.171,0.03,15.005,0.058
NGC 5965,0.011265,2018cyg,II,64.2,0,---,---,15.026,0.005,14.88059998,0.000726,13.49479961,0.000392,12.20810032,0.000188,11.62139988,0.000216,11.31410027,0.000454,12.402,0.058,11.657,0.074,11.167,0.044,9.896,0.021,9.9,0.019
IC 4397,0.014744,2018dbg,Ib/c,1.967639017,0,15.518,0.0187,14.615,0.005,13.65909958,0.000568,13.38319969,0.000603,12.94970036,0.000427,12.84829998,0.000623,12.90480042,0.001532,13.669,0.046,12.89,0.054,12.822,0.055,11.378,0.022,11.209,0.02
WISEA J170644.04+182124.5,'---,2018dcn,Ia,0.6,0.361,---,---,18.597,0.031,16.71290016,0.00235,15.87539959,0.001463,15.44139957,0.001179,15.22850037,0.001956,14.96800041,0.00356,12.345,0.022,11.758,0.023,11.617,0.025,13.042,0.038,13.042,0.041
UGC 08440,0.018756,2018dcw,II,15.21346925,0,---,---,17.063,0.021,15.41629982,0.0018,14.7116003,0.001847,14.30189991,0.000919,14.09729958,0.001448,14.23159981,0.002995,15.449,0.084,14.802,0.098,14.517,0.109,13.068,0.024,13.029,0.026
SDSS J141218.68+623833.5,'---,2018ddg,Ia,3.2,0.029,19.8981,0.132,19.253,0.037,18.19039917,0.006752,17.97859955,0.00794,17.67239952,0.005153,17.71269989,0.011585,17.7031002,0.020895001,---,---,---,---,---,---,---,---,---,---
CGCG 244-002,0.038341,2018ddh,Ia,4.452581654,0,19.6441,0.1501,16.14,0.007,14.49870014,0.000617,13.83259964,0.00055,13.44390011,0.000402,13.27820015,0.000749,13.02089977,0.001009,13.196,0.067,12.662,0.083,12.154,0.06,11.262,0.023,11.279,0.02
NGC 5468,0.00948,2018dfg,IIb,8.762299585,0.077,---,---,---,---,14.88160038,0.000258,14.01580048,0.000508,14.75699997,0.00078,14.47669983,0.001053,16.46559906,0.003072,14.3,0.101,13.56,0.129,13.165,0.086,11.51,0.022,11.363,0.023
UGC 10586,0.031332,2018dfi,II,22.9,0,---,---,15.432,0.011,14.7184,0.001195,14.22570038,0.000929,13.83119965,0.000531,13.57670021,0.000956,13.24750042,0.001768,14.537,0.08,13.68,0.08,13.41,0.086,11.633,0.106,12.146,0.022
UGC 11801,0.013519,2018dfy,IIn,7.077531643,---,---,---,---,---,15.32180023,0.001176,14.26959991,0.000674,13.76049995,0.00057,13.49619961,0.000955,13.31680012,0.001621,14.065,0.081,13.235,0.097,12.86,0.074,10.883,0.022,10.621,0.019
CGCG 374-027,0.023165,2018dht,II,7.719824267,0.325,18.0771,0.0367,16.587,0.012,15.02560043,0.001243,14.38010025,0.000712,14.06400013,0.000635,13.89570045,0.00118,13.65120029,0.001934,14.44,0.138,13.711,0.178,13.143,0.112,11.574,0.022,11.487,0.021
WISEA J185954.98+721557.2,'---,2018dhw,Ia,12.24,0.389,17.9109,0.0401,---,---,16.47299957,0.004624,16.19599915,0.00464,16.00989914,0.002766,16.15519905,0.006733,16.10510063,0.012606,15.172,0.082,14.605,0.096,14.157,0.087,14.448,0.027,14.193,0.033
