HostName,Redshift,SNName,Type,Offset,Av,NUVmag,,umag,,gmag,,rmag,,imag,,zmag,,ymag,,Jmag,,Hmag,,Kmag,,W1mag,,W2mag,
MCG +07-30-065,0.031662,ASASSN-18ag,Ia,4.17,0,18.4069,0.0511,17.263,0.017,16.49360085,0.003931,14.78740025,0.001551,14.45460033,0.000809,14.18760014,0.001416,14.02200031,0.002639,12.804,0.035,12.058,0.047,11.677,0.065,11.791,0.023,11.557,0.021
2MASXi J0528516-354436,---,ASASSN-18ah,Unk,6.04,0.017,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,14.635,0.041,14.483,0.056
SDSS J091612.25+390341.8,---,ASASSN-18aj,Ia,1.06,0,22.2021,0.3893,21.809,0.208,20.98450089,0.043850001,20.5428009,0.031688001,20.30459976,0.028421,20.35420036,0.052347001,21.40530014,0.221575007,---,---,---,---,---,---,---,---,---,---
IC 2777,0.039932,ASASSN-18al,Ia,3.16,0.07,17.8391,0.0288,16.393,0.009,15.24370003,0.001121,14.69260025,0.001156,14.46240044,0.000758,14.27760029,0.001185,14.03009987,0.002748,13.111,0.04,12.404,0.046,12.119,0.075,11.941,0.023,11.796,0.023
WISE J163554.27+400151.8,0.03101,ASASSN-18am,II,8.55,0,19.4776,0.0659,18.756,0.026,17.78479958,0.003512,17.48520088,0.00335,17.28790092,0.002646,17.25810051,0.006939,17.13730049,0.010675,---,---,---,---,---,---,15.158,0.032,15.05,0.057
NGC 3070,0.017778,ASASSN-18an,Ia,12.5,0.053,18.2622,0.0735,14.698,0.004,13.09560013,0.000327,12.45180035,0.000213,12.04940033,0.000136,11.81610012,0.000231,11.56140041,0.000431,10.342,0.018,9.644,0.02,9.394,0.032,10.03,0.023,10.039,0.02
SDSS J102119.17+205436.5,---,ASASSN-18ao,Ia,0.77,0.077,---,---,20.294,0.111,19.65870094,0.017659999,19.34700012,0.018340001,19.15640068,0.020726999,19.25329971,0.031266998,19.04109955,0.051810998,---,---,---,---,---,---,17.084,0.13,17.268,---
KUG 0143+322,0.037503,ASASSN-18ap,II,1.79,0.085,17.908,0.0427,16.792,0.011,15.51449966,0.001492,14.95160007,0.000787,14.64449978,0.000803,14.47669983,0.001355,14.25,0.002244,13.237,0.04,12.532,0.047,12.272,0.074,12.336,0.023,12.225,0.023
LCRS B043143.0-384747,---,ASASSN-18aq,Unk,4.37,0.005,20.2532,0.1619,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,16.231,0.052,16.204,0.149
2MASX J03301134-1331226,0.040978,ASASSN-18ar,Ia,3,0.149,21.2159,0.286,---,---,15.37580013,0.001513,14.55830002,0.000783,14.11429977,0.000792,13.9090004,0.001133,13.69909954,0.001745,12.569,0.031,11.843,0.044,11.51,0.061,11.816,0.023,11.829,0.022
2MASX J01400755-0625426,0.051165,ASASSN-18av,Unk,0.69,0.103,21.359,0.163,17.654,0.022,15.81659985,0.00156,15.00590038,0.000949,14.6072998,0.00094,14.38589954,0.001399,14.19400024,0.002835,13.216,0.047,12.495,0.055,12.138,0.08,13.419,0.057,13.402,0.064
SDSS J074246.92+190955.6,---,ASASSN-18ax,Unk,10.38,0.145,22.3721,0.3797,20.253,0.117,18.79990005,0.016388001,18.07390022,0.006654,17.63369942,0.007865,17.40169907,0.012005,17.38570023,0.017573001,---,---,---,---,---,---,14.518,0.031,14.247,0.048
2MASX J14211713-0637416,0.028523,ASASSN-18az,Ia,6.05,0.109,17.6854,0.0477,---,---,15.8156004,0.001897,15.31649971,0.001505,15.04349995,0.001356,14.87440014,0.001779,14.64509964,0.0034,13.844,0.063,13.16,0.078,12.678,0.093,13.267,0.033,13.267,0.041
GALEXASC J050811.97-543842.4,---,ASASSN-18ba,Ia,1.5,0.325,20.0421,0.1786,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,15.411,0.03,15.261,0.052
2MASX J06131068-4906047,0.075968,ASASSN-18be,Unk,11.28,0.213,21.1826,0.3568,---,---,---,---,---,---,---,---,---,---,---,---,14.627,0.065,13.756,0.065,13.535,0.088,13.733,0.031,13.552,0.033
VCC 0485,0.03334,ASASSN-18bi,Ia,8.95,0.043,18.0763,0.0667,17.144,0.019,15.72719955,0.001985,15.17269993,0.00116,14.87240028,0.001246,14.68640041,0.002078,14.47350025,0.00333,13.518,0.044,12.899,0.066,12.605,0.078,12.768,0.024,12.718,0.026
KUG 0921+406,0.027787,ASASSN-18bj,Ic-BL,7.45,0.009,16.4348,0.0157,15.952,0.007,17.31800079,0.003294,16.51429939,0.002229,14.97649956,0.00094,14.85760021,0.001769,14.64340019,0.004025,13.72,0.051,12.992,0.066,12.696,0.08,12.66,0.023,12.498,0.025
