HostName,Redshift,SNName,Type,Offset,Av,NUVmag,,umag,,gmag,,rmag,,imag,,zmag,,ymag,,Jmag,,Hmag,,Kmag,,W1mag,,W2mag,
NGC 3393,0.012509,ASASSN-18hb,Ia,27.93,0.333,---,---,---,---,13.64260006,0.000584,10.24069977,0.000031,11.70699978,0.000143,12.19239998,0.000315,10.61709976,0.000268,10.201,0.026,9.472,0.029,9.188,0.041,9.991,0.022,9.597,0.02
2MASX J12014308+0808037,0.041083,ASASSN-18hd,Ia,0.43,0,---,---,18.339,0.021,16.60339928,0.002595,15.93159962,0.00173,15.55850029,0.001264,15.35210037,0.002247,15.21720028,0.004075,14.323,0.06,13.626,0.065,13.36,0.095,13.404,0.043,13.351,0.046
CGCG 187-001,0.05377,ASASSN-18he,Ia,8.56,0.043,17.7091,0.0324,16.901,0.012,15.28479958,0.001222,14.58819962,0.00078,14.43010044,0.000831,14.04209995,0.001057,13.84729958,0.001677,12.772,0.032,12.067,0.048,11.749,0.054,11.734,0.023,11.749,0.022
ESO 383-G 019,0.024587,ASASSN-18hf,IIn,55.51,0.237,16.9718,0.042,---,---,---,---,---,---,---,---,---,---,---,---,11.714,0.035,10.981,0.042,10.685,0.066,11.324,0.021,11.453,0.02
WINGS J133119.62-331354.0,---,ASASSN-18hg,Ia,0.45,0.145,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
2MASX J13492678+2627426,0.076379,ASASSN-18hh,Ia-91T,4.71,0,21.2293,0.1827,18.67,0.038,16.88829994,0.003011,16.14999962,0.001723,15.7755003,0.001823,15.56999969,0.002086,15.42580032,0.004175,14.249,0.055,13.508,0.058,13.216,0.078,13.27,0.024,13.128,0.026
ESO 446-G 008,0.033853,ASASSN-18hq,IIb,7.12,0.261,17.8074,0.0686,---,---,---,---,---,---,---,---,---,---,---,---,13.126,0.055,12.356,0.058,12.041,0.092,12.32,0.024,12.252,0.024
ESO 509-G 018,0.026492,ASASSN-18hu,Ia,35.31,0.257,19.8434,0.1825,---,---,14.77499962,0.001273,13.90579987,0.00083,13.45590019,0.000636,13.25349998,0.000984,13.00430012,0.001441,11.85,0.029,11.13,0.033,10.784,0.062,11.363,0.023,11.407,0.021
2MASX J14534719+7235530,---,ASASSN-18hv,Unk,0.7,0.017,18.5788,0.0649,---,---,16.99150085,0.003929,16.70849991,0.004472,16.44260025,0.002114,16.32320023,0.005259,16.20700073,0.008466,15.331,0.131,14.743,0.166,14.195,0.165,13.974,0.025,13.739,0.029
2MASX J14220184-2802358,0.025164,ASASSN-18hw,II,5.46,0.281,19.2111,0.1437,---,---,16.64830017,0.005391,16.1765995,0.004522,15.9698,0.003217,15.74409962,0.004671,15.62030029,0.008174,14.88,0.093,14.295,0.112,14.015,0.183,14.407,0.042,14.313,0.064
2MASS J21314844-4602319,---,ASASSN-18hy,Ia,3.61,0.049,19.6193,0.0828,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,13.906,0.027,13.895,0.034
2MASX J12443847+0618049,0.056074,ASASSN-18hz,Ia,0.15,0,---,---,19.412,0.044,17.74900055,0.004677,16.98699951,0.002241,16.62890053,0.002163,16.39550018,0.003255,16.15620041,0.004774,15.016,0.102,14.174,0.096,13.901,0.151,13.723,0.026,13.539,0.035
2MASX J11001114-3631436,0.092863,ASASSN-18ia,Ia,3.21,0.213,20.5787,0.2622,---,---,---,---,---,---,---,---,---,---,---,---,14.702,0.065,13.957,0.072,13.562,0.091,13.427,0.025,13.292,0.029
VIII Zw 260W,0.04576,ASASSN-18ie,Unk,0.95,0,21.0903,0.2312,17.981,0.021,16.00930023,0.001889,15.28709984,0.001271,14.88619995,0.001014,14.7130003,0.00113,14.40279961,0.002033,13.424,0.047,12.737,0.053,12.354,0.089,12.446,0.023,12.448,0.024
SDSS J130026.83+183711.1,0.052709,ASASSN-18ii,Ia,4.54,0.1,19.3804,0.1055,19.494,0.084,18.0387001,0.015202,17.64150047,0.010324,17.36689949,0.010163,17.36910057,0.011448,17.50830078,0.019833,---,---,---,---,---,---,15.565,0.041,15.235,0.088
WISEA J135134.34-055325.7,---,ASASSN-18im,Ia,1.14,0.61,20.4677,0.1739,19.667,0.045,19.04030037,0.0109,18.79750061,0.01105,18.59300041,0.020853,18.58659935,0.017263001,18.41729927,0.029626001,---,---,---,---,---,---,16.563,0.073,16.85,0.334
2MASX J11301164+0424561,0.028949,ASASSN-18io,Ia,0.62,0.085,20.0734,0.0949,18.003,0.02,16.68090057,0.002761,16.10820007,0.001742,15.8355999,0.001071,15.64990044,0.002589,15.5078001,0.006107,14.755,0.076,14.149,0.092,13.991,0.154,13.732,0.026,13.652,0.036
GALEXASC J121622.42-350056.3,---,ASASSN-18is,Ia,10,0.277,19.6186,0.0972,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,14.705,0.036,14.516,0.053
GALEXASC J114845.20-182438.5,---,ASASSN-18it,Ia,2.71,0.069,20.1618,0.1706,---,---,18.23579979,0.013747,17.73329926,0.008087,17.38089943,0.004895,17.35829926,0.013457,17.37310028,0.020725001,---,---,---,---,---,---,15.222,0.041,15.064,0.087
SDSS J175740.70+500154.1,---,ASASSN-18iu,Ia,25.31,0.141,---,---,17.274,0.037,18.01329994,0.008275,19.54879951,0.026226001,20.36529922,0.039919,22.3920002,0.240783006,21.38619995,0.183823004,---,---,---,---,---,---,---,---,---,---
2MASX J09411042+2401218,0.06991,ASASSN-18iv,Ia-91T,3.34,0.013,---,---,17.549,0.026,16.05120087,0.001726,15.4041996,0.001194,15.10270023,0.001228,14.95110035,0.002098,14.84990025,0.004158,13.902,0.067,13.148,0.091,12.805,0.093,12.756,0.025,12.586,0.024
2MASX J14433925+1852124,0.030945,ASASSN-18iw,Ia,1.23,0.076,21.1917,0.2804,17.658,0.019,15.92380047,0.001753,15.17479992,0.001262,14.70189953,0.000754,14.47130013,0.001232,14.31690025,0.002466,13.272,0.042,12.528,0.054,12.155,0.072,12.37,0.023,12.425,0.023
WISEA J093123.04+174828.2,---,ASASSN-18ji,Ib/c,1.68,0.093,20.9637,0.1602,20.586,0.136,19.51959991,0.019547001,18.78059959,0.012901,18.82069969,0.015915001,18.56879997,0.023008,18.89909935,0.047212001,---,---,---,---,---,---,16.75,0.103,16.618,0.315
2MASS J10153212-7242350,'---,ASASSN-18jk,Ia,8.7,0.449,---,---,---,---,---,---,---,---,---,---,---,---,---,---,16.103,0.087,15.832,0.145,15.634,0.235,---,---,---,---
SDSS J232258.36-010141.2,0.034211,ASASSN-18jl,Ia,2.58,0.141,19.9414,0.118,19.273,0.096,18.09440041,0.009649,17.68519974,0.009938,17.8253994,0.009787,17.61969948,0.01392,18.2010994,0.025395,---,---,---,---,---,---,16.11,0.066,16.323,0.246
WISEA J114101.88-334047.6,'---,ASASSN-18jm,Ia,1.3,0.317,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,15.245,0.037,15.113,0.073
CGCG 094-019,0.044491,ASASSN-18jn,Ia,0.44,0.093,---,---,17.052,0.013,15.50319958,0.001091,14.84920025,0.000643,14.53499985,0.000679,14.33510017,0.000916,14.10219955,0.00174,13.022,0.031,12.371,0.05,11.957,0.054,12.031,0.022,12.006,0.024
2MASXi J0938149-084717,---,ASASSN-18jo,Ia,0.46,0.101,---,---,---,---,17.72710037,0.005431,16.88019943,0.003717,16.46910095,0.002691,16.16349983,0.004904,15.92630005,0.007931,---,---,---,---,---,---,13.67,0.026,13.461,0.033
2MASX J11044706-1538068,0.071746,ASASSN-18jp,Ia,9.61,0.129,20.1211,0.1052,17.961,0.025,16.04089928,0.0024,15.20650005,0.001091,14.81400013,0.000961,14.51920033,0.001618,14.33930016,0.003721,13.282,0.043,12.54,0.049,12.157,0.074,12.174,0.023,12.148,0.023
2MASX J10225269-1940116,0.021512,ASASSN-18jv,Unk,2.27,0.277,---,---,---,---,15.35700035,0.00147,14.98159981,0.001184,14.91539955,0.001386,14.82069969,0.002115,14.62549973,0.004377,13.987,0.087,13.313,0.093,13.118,0.126,13.025,0.024,12.77,0.026
2MASX J08332211-7637363,0.047732,ASASSN-18kd,Ia,3.69,0.565,20.9728,0.2084,---,---,---,---,---,---,---,---,---,---,---,---,14.186,0.065,13.352,0.073,13.017,0.097,12.848,0.168,12.767,0.023
UGC 05487,0.021595,ASASSN-18ke,IIb,8.36,0.041,16.9437,0.0313,16.529,0.014,15.30599976,0.001457,15.12390041,0.001404,14.63290024,0.00093,14.51010036,0.001806,14.26130009,0.003329,13.309,0.057,12.808,0.07,12.592,0.122,13.009,0.025,12.987,0.029
WISEA J143930.63-351112.5,'---,ASASSN-18kh,Ia,10.3,0.229,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,14.936,0.032,14.765,0.058
VII Zw 884,---,ASASSN-18kl,Ia,41.55,0.241,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
2MASX J16093905-3203443,0.026665,ASASSN-18km,II,1.92,0.881,18.636,0.0868,---,---,---,---,---,---,---,---,---,---,---,---,14.763,0.104,14.033,0.122,13.935,0.18,13.406,0.028,13.228,0.032
2MASX J23194510+2230081,0.040511,ASASSN-18kn,Ia,8.76,0.181,17.8974,0.0321,17.288,0.021,15.91539955,0.001841,15.37819958,0.001406,15.17930031,0.001588,15.0078001,0.002841,14.84930038,0.004097,14.155,0.065,13.445,0.077,13.119,0.115,13.265,0.025,13.115,0.03
2MASX J13333656-3312251,0.048617,ASASSN-18ko,Ia,1.35,0.141,20.9236,0.2553,---,---,---,---,---,---,---,---,---,---,---,---,14.501,0.092,13.862,0.094,13.491,0.133,13.649,0.027,13.553,0.036
MCG -02-26-021,0.031275,ASASSN-18kp,Ia,0.41,0.141,19.9812,0.1073,---,---,14.9836998,0.001391,14.16129971,0.000637,13.76690006,0.000414,13.49839973,0.000777,13.20610046,0.001091,12.124,0.025,11.379,0.035,11.071,0.06,11.201,0.022,11.261,0.02
LCSB S2104O,0.033253,ASASSN-18kq,Ia,0.64,0,18.7712,0.0615,17.472,0.02,16.08930016,0.002427,15.50599957,0.001285,15.22220039,0.000832,15.0394001,0.001649,14.7833004,0.003829,14.016,0.05,13.319,0.065,12.987,0.086,13.541,0.035,13.506,0.041
KUG 1418+139,0.020284,ASASSN-18kr,II,7.24,0,16.9751,0.0298,16.423,0.008,15.23079967,0.001725,15.04759979,0.001037,14.93369961,0.000921,14.78110027,0.001844,14.64859962,0.003969,14.114,0.063,13.602,0.094,13.171,0.098,13.743,0.036,13.6,0.042
WISEA J204938.32-550605.3,'---,ASASSN-18ks,Ia,14.3,0.181,21.9819,0.305,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,16.953,0.109,17.317,0.536
SDSS J141418.55+104047.9,---,ASASSN-18ky,Ib,6.66,0.009,---,---,23.473,0.616,22.64049911,0.101879001,21.9239006,0.079783,21.19440079,0.027424,21.55990028,0.110464998,21.52099991,0.210719004,---,---,---,---,---,---,---,---,---,---
NGC 0322,0.02377,ASASSN-18kz,Ia,1.84,unk,19.4077,0.1363,---,---,---,---,---,---,---,---,---,---,---,---,11.407,0.017,10.711,0.023,10.429,0.033,10.675,0.024,10.667,0.019
WISEA J163639.27-850851.2,'---,ASASSN-18ld,Unk,20.2,0.389,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,16.884,0.074,16.505,0.157
2MASX J21381685-2733285,0.029991,ASASSN-18le,Ia,0.56,0.141,---,---,---,---,15.47019958,0.001516,14.75500011,0.001173,14.29059982,0.000778,14.10900021,0.001286,13.8739996,0.002703,12.733,0.032,12.077,0.044,11.757,0.067,12.036,0.023,12.102,0.024
SDSS J103746.12+052802.0,0.097824,ASASSN-18lh,Ia,0.23,0.073,19.2111,0.1172,17.62,0.056,17.24880028,0.00662,16.63579941,0.005942,16.37400055,0.004296,16.33760071,0.006854,16.54459953,0.014958,---,---,---,---,---,---,15.348,0.041,15.081,0.087
CGCG 091-005,0.02763,ASASSN-18lk,Unk,5.27,0.097,19.6646,0.0914,17.183,0.013,15.34939957,0.00143,14.66569996,0.001547,14.30150032,0.000735,14.10340023,0.001222,13.9744997,0.002819,13.033,0.03,12.344,0.044,12.114,0.057,12.117,0.023,12.179,0.024
SDSS J151142.60+062511.9,0.03192,ASASSN-18ll,Unk,0.04,0.061,18.7393,0.0851,17.868,0.017,16.96430016,0.002968,16.62490082,0.003035,16.48970032,0.002255,16.34480095,0.004488,16.31270027,0.008795,---,---,---,---,---,---,14.244,0.028,14.034,0.039
SDSS J104623.08+184026.7,---,ASASSN-18lr,Unk,1.42,0.037,21.1879,0.2823,20.835,0.203,20.00449944,0.023539999,20.30200005,0.031355999,20.70770073,0.052990001,20.18619919,0.073615998,21.68630028,0.270534992,---,---,---,---,---,---,---,---,---,---
GALEXASC J012455.64-194808.6,---,ASASSN-18ls,II,3.05,0.111,21.0873,0.1382,---,---,19.16939926,0.012475,18.73900032,0.013043,18.55809975,0.011627,18.49189949,0.020073,18.41189957,0.036410999,---,---,---,---,---,---,16.398,0.065,16.523,0.26
ESO 268-G 047,0.012378,ASASSN-18lv,II,6.48,0.705,---,---,---,---,---,---,---,---,---,---,---,---,---,---,12.046,0.034,11.281,0.038,11.104,0.075,11.418,0.023,11.339,0.021
WISEA J192850.22-193302.1,'---,ASASSN-18lw,Unk,10.1,0.401,---,---,---,---,18.27890015,0.003295,17.64069939,0.002606,17.3878994,0.002112,17.27899933,0.004351,17.21520042,0.00999,16.189,0.095,15.707,0.13,15.465,0.183,15.363,0.046,15.448,0.128
2MASX J00593045-5254215,0.027272,ASASSN-18lz,Ia-91T,0.85,unk,20.1057,0.1006,---,---,---,---,---,---,---,---,---,---,---,---,13.908,0.055,13.35,0.068,12.999,0.105,13.445,0.038,13.444,0.043
2MASX J15160198-3842498,0.039207,ASASSN-18ma,Unk,3.03,0.293,---,---,---,---,---,---,---,---,---,---,---,---,---,---,13.435,0.052,12.738,0.05,12.382,0.085,12.46,0.024,12.493,0.024
IC 1422,0.032268,ASASSN-18mb,Ia,13.83,0.097,19.6871,0.0969,17.285,0.015,15.71969986,0.001312,15.04249954,0.000779,14.67739964,0.000488,14.45499992,0.001312,14.24699974,0.003089,13.296,0.033,12.549,0.039,12.327,0.055,12.697,0.035,12.735,0.038
ESO 386-G 043,0.026068,ASASSN-18mc,Ia,4.93,0.261,---,---,---,---,---,---,---,---,---,---,---,---,---,---,11.212,0.024,10.52,0.031,10.214,0.043,10.9,0.023,10.822,0.02
NGC 0644,0.020784,ASASSN-18mj,II,15.8,unk,16.7972,0.0209,---,---,---,---,---,---,---,---,---,---,---,---,12.22,0.036,11.541,0.044,11.217,0.067,11.941,0.022,11.908,0.022
UGC 06609,0.025724,ASASSN-18mk,Ia,4.94,0,18.9756,0.0745,16.16,0.011,16.40660095,0.001378,13.40979958,0.000452,13.08500004,0.000474,13.00769997,0.000645,12.65089989,0.001265,11.605,0.024,10.872,0.032,10.597,0.05,11.319,0.023,11.4,0.021
NGC 7533,0.025998,ASASSN-18ml,Ia,0.23,0.089,20.6322,0.1753,16.795,0.013,15.0600996,0.001024,14.33069992,0.000741,13.95899963,0.000666,13.70860004,0.000815,13.46809959,0.002097,12.42,0.027,11.704,0.04,11.491,0.06,11.674,0.023,11.753,0.022
2MASX J23565589-2459468,0.074378,ASASSN-18mn,Ia,0.85,0.019,19.7233,0.1153,---,---,16.54800034,0.003072,15.82120037,0.001877,15.44699955,0.00214,15.23509979,0.002453,14.91689968,0.003712,13.879,0.057,13.2,0.068,12.801,0.085,12.62,0.024,12.527,0.025
2MASX J09175988+5000079,0.034189,ASASSN-18mo,Ia,0.11,0,20.338,0.1475,17.738,0.017,16.29490089,0.002719,15.62119961,0.001615,15.24510002,0.001044,15.05440044,0.002044,14.86730003,0.004095,13.946,0.059,13.244,0.061,12.858,0.077,12.814,0.025,12.664,0.025
2MASX J23393156-0308565,0.023763,ASASSN-18mr,IIn,5.69,0.089,18.5189,0.0417,16.709,0.012,15.20870018,0.001581,14.59899998,0.000892,14.18159962,0.000753,13.91650009,0.001231,13.68350029,0.00213,12.645,0.023,11.899,0.032,11.62,0.054,11.625,0.022,11.655,0.021
2MASX J11192721+2922223,0.060385,ASASSN-18ms,Unk,3.42,0.017,21.9852,0.317,18.096,0.024,16.33349991,0.002899,15.5862999,0.001102,15.23620033,0.001577,15.00389957,0.001821,14.82400036,0.003194,13.785,0.063,13.122,0.063,12.72,0.087,12.857,0.024,12.846,0.027
2MASX J02103258-0652265,---,ASASSN-18mu,Ia,0.4,0,19.6508,0.0789,18.348,0.03,17.02840042,0.003056,16.5237999,0.002308,16.23189926,0.002015,16.08679962,0.003804,15.91530037,0.006842,15.119,0.08,14.402,0.094,14.189,0.142,13.991,0.028,13.821,0.036
2MASX J13493979+4749084,0.027926,ASASSN-18mv,Ia,0.2,0.022,---,---,17.229,0.012,15.71710014,0.001643,15.00870037,0.000997,14.62069988,0.000712,14.33030033,0.000998,14.05840015,0.001843,12.927,0.026,12.147,0.036,11.773,0.041,11.62,0.022,11.421,0.021
GALEXASC J225506.47+111533.5,---,ASASSN-18mx,II,6.76,0.197,20.2174,0.1195,18.957,0.054,17.71369934,0.006505,17.21120071,0.004147,16.91659927,0.003709,16.79430008,0.00692,16.9904995,0.012823,---,---,---,---,---,---,15.121,0.037,14.861,0.07
2MASX J23494835-1407107,0.051456,ASASSN-18my,Ia,0.13,0.053,20.3388,0.2197,---,---,15.33209991,0.001501,14.53079987,0.000996,14.08390045,0.00065,14.02770042,0.001308,13.65719986,0.001984,12.582,0.035,11.9,0.052,11.527,0.063,11.79,0.023,11.836,0.023
IC 0964,0.022176,ASASSN-18mz,II,6.85,0.029,17.4302,0.0256,16.407,0.011,15.17879963,0.00111,14.6857996,0.000767,14.45059967,0.000762,14.29319954,0.001154,14.23620033,0.002591,13.284,0.051,12.604,0.08,12.286,0.079,12.589,0.024,12.521,0.024
CGCG 113-034,0.009843,ASASSN-18na,Ia,0.23,1.021,---,---,---,---,15.88169956,0.002036,14.30340004,0.000962,13.86970043,0.000872,13.64109993,0.001363,13.80290031,0.002503,12.345,0.033,11.647,0.048,11.385,0.067,12.072,0.024,12.075,0.023
KUG 2158+198B,0.028601,ASASSN-18nr,Ia,5.98,0.289,18.6622,0.0515,17.387,0.034,15.94589996,0.001702,15.37919998,0.001073,15.09910011,0.000817,14.91460037,0.001962,14.69120026,0.004089,13.672,0.056,12.949,0.065,12.758,0.101,13.237,0.034,13.122,0.037
SDSS J221730.91+114316.3,---,ASASSN-18ns,Ia,3.1,0.157,---,---,19.856,0.137,18.74419975,0.014382,18.26230049,0.012619,18.06329918,0.010294,18.21319962,0.022802001,18.73999977,0.048668001,---,---,---,---,---,---,16.38,0.07,16.977,0.401
ABELL 0194,0.018,ASASSN-18nt,Unk,221.76,0.155,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
GALEXASC J193159.40-624022.2,---,ASASSN-18nu,II,6.98,0.265,18.3624,0.0719,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,14.918,0.031,14.765,0.058
ESO 233-G 007,0.02473,ASASSN-18nx,IIn,20.64,0.369,17.3894,0.0305,---,---,---,---,---,---,---,---,---,---,---,---,14.802,0.092,13.904,0.09,13.949,0.144,13.682,0.025,13.525,0.035
ESO 476-G 016,0.020137,ASASSN-18oa,IIn,24.02,0.022,16.2906,0.0178,---,---,17.46479988,0.004878,14.37860012,0.001298,13.24470043,0.000569,13.27620029,0.00098,13.16969967,0.001938,11.913,0.031,11.27,0.046,11.002,0.066,11.957,0.024,11.972,0.025
ESO 532-G 021,0.018229,ASASSN-18od,Ia,4.59,0.041,16.7576,0.0218,---,---,14.56060028,0.000978,13.92599964,0.000651,13.61410046,0.00064,13.5692997,0.001258,13.20919991,0.002137,12.168,0.038,11.549,0.055,11.191,0.075,11.985,0.025,12.064,0.024
IC 5380,---,ASASSN-18oe,Ia,5.44,0.005,17.7477,0.0432,---,---,---,---,---,---,---,---,---,---,---,---,13.09,0.044,12.364,0.055,12.074,0.08,12.478,0.024,12.391,0.023
SDSS J033935.15-061929.9,---,ASASSN-18oi,Ia,1.04,0.129,18.8352,0.0571,17.794,0.016,17.23880005,0.003729,16.77449989,0.002721,16.54700089,0.002379,16.45359993,0.003682,16.26280022,0.007294,---,---,---,---,---,---,14.257,0.027,14.084,0.043
APMUKS(BJ) B220137.90-561932.4,---,ASASSN-18om,II,3.51,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,15.779,0.045,15.767,0.121
GALEXASC J225957.21-452556.4,---,ASASSN-18on,Ia,1.99,0,19.7372,0.1019,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,15.875,0.042,15.572,0.091
GALEXASC J132343.14-252429.8,---,ASASSN-18oo,Ia,3.11,0.293,20.7396,0.1938,---,---,17.46179962,0.005247,16.77490044,0.004423,16.44569969,0.003097,16.22130013,0.004676,16.04290009,0.008056,---,---,---,---,---,---,14.188,0.027,14.049,0.043
GALEXASC J210946.18-501414.9,---,ASASSN-18op,Ia,2.53,0,20.6825,0.1397,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
ESO 553-G 019,0.013836,ASASSN-18ou,II,9.49,0.049,16.5833,0.0209,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
NGC 0863,0.026385,ASASSN-18pb,Ia,7.83,0.053,16.4637,0.0247,15.356,0.006,13.64789963,0.000499,12.95119953,0.000281,12.60560036,0.000224,12.43050003,0.000429,12.14630032,0.000763,10.925,0.016,10.176,0.021,9.666,0.025,10.276,0.023,9.859,0.02
GALEXASC J125510.22-053406.8,---,ASASSN-18ph,Ic,0.19,0.061,20.7458,0.2038,---,---,19.45070076,0.011824,19.04089928,0.016077001,18.93149948,0.015404,18.98010063,0.017989,18.97030067,0.037473001,---,---,---,---,---,---,16.555,0.074,16.375,0.227
2MASX J19431917-5434257,0.039841,ASASSN-18pi,IIn,20.08,0.177,16.4841,0.0165,---,---,---,---,---,---,---,---,---,---,---,---,12.859,0.036,12.183,0.045,11.85,0.062,11.58,0.022,11.083,0.021
ESO 236-IG 015,0.053127,ASASSN-18pl,Ia,22.41,0,18.0374,0.0382,---,---,---,---,---,---,---,---,---,---,---,---,14.041,0.061,13.267,0.074,12.782,0.083,13.17,0.031,13.031,0.036
LCRS B035129.8-451941,---,ASASSN-18pr,Ia,0.84,0,19.6465,0.0983,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,15.049,0.029,14.894,0.047
2MASX J21571983-4534417,---,ASASSN-18pu,Ia,1.48,0,18.9273,0.0552,---,---,---,---,---,---,---,---,---,---,---,---,15.167,0.11,---,---,14.22,0.19,14.13,0.029,13.995,0.039
2MASX J02040678-1743294,0.049658,ASASSN-18pv,Unk,4.54,0.04,18.2394,0.0309,---,---,16.12560081,0.002211,15.5923996,0.001975,15.32629967,0.001388,15.16119957,0.001861,14.92310047,0.002955,13.894,0.05,13.139,0.058,12.819,0.085,12.904,0.034,12.669,0.037
WISEA J024116.48+203017.0,'---,ASASSN-18pw,Ia,1.7,0.341,---,---,20.363,0.062,19.42149925,0.012079,19.21719933,0.012629,19.06649971,0.012446,19.06520081,0.021976,18.95800018,0.050567001,---,---,---,---,---,---,17.211,0.127,17.235,0.506
2MASX J00552674-7418379,---,ASASSN-18px,Ia,2.78,0.069,19.3576,0.0803,---,---,---,---,---,---,---,---,---,---,---,---,13.553,0.05,12.983,0.074,12.516,0.086,12.764,0.024,12.67,0.024
2MASS J22103576-2714557,0.02395,ASASSN-18qk,II,3.11,0,17.6995,0.0228,---,---,16.61599922,0.002722,16.35250092,0.002769,16.28510094,0.003351,16.22060013,0.006465,16.0461998,0.011955,---,---,---,---,---,---,14.743,0.034,14.55,0.064
WISEA J191239.99-663229.9,'---,ASASSN-18qq,Unk,2.8,0.233,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,15.431,0.039,15.398,0.09
GALEXASC J205132.58-461131.1,'---,ASASSN-18qr,Unk,1.3,0.013,18.4662,0.0389,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
NGC 6851B,0.04544,ASASSN-18qs,Ia,11.71,0.157,19.1687,0.0873,---,---,---,---,---,---,---,---,---,---,---,---,13.624,0.047,12.75,0.049,12.448,0.069,12.469,0.022,12.32,0.022
2MASXi J0455502-614521,---,ASASSN-18qv,II,2.18,0,17.5717,0.031,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,13.471,0.025,13.355,0.025
ESO 194-G 024,0.021912,ASASSN-18qw,II,9.38,unk,16.259,0.0153,---,---,---,---,---,---,---,---,---,---,---,---,12.57,0.046,11.869,0.062,11.729,0.086,12.367,0.024,12.26,0.023
MCG -03-09-010,0.031388,ASASSN-18re,Ia,26.85,0.145,17.0157,0.0257,---,---,15.00259972,0.001746,15.14519978,0.001807,14.06480026,0.001042,13.85700035,0.001804,16.55360031,0.010975,12.728,0.043,12.094,0.064,11.793,0.102,12.68,0.024,12.603,0.024
2MASX J19523057-6045422,0.04002,ASASSN-18rf,Ia,10.69,0.169,---,---,---,---,---,---,---,---,---,---,---,---,---,---,13.244,0.039,12.477,0.045,12.249,0.061,12.421,0.027,12.452,0.029
2MASS J21483845-4322470,0.07389,ASASSN-18rn,Ia,2.24,0,18.9364,0.0802,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,14.443,0.029,14.155,0.042
MCG -01-35-011,0.024971,ASASSN-18ro,Ia,13,0.101,17.5605,0.0479,---,---,15.25409985,0.001874,14.62320042,0.001301,14.16469955,0.001284,14.00329971,0.001544,13.84039974,0.002688,13.151,0.049,12.48,0.059,12.159,0.107,12.746,0.025,12.749,0.025
2MASX J13373954-2907572,0.018176,ASASSN-18rp,Unk,9.55,0.085,17.8269,0.0361,---,---,15.79800034,0.002817,15.36050034,0.002168,15.1704998,0.002154,14.99580002,0.002502,15.04529953,0.005836,14.205,0.068,13.625,0.078,13.369,0.115,13.374,0.025,13.312,0.03
IC 1370,0.050335,ASASSN-18rq,Ia,0.69,0.261,---,---,17.142,0.012,15.28579998,0.00094,14.67029953,0.000605,14.03530025,0.000443,13.91250038,0.001035,13.75430012,0.001822,12.613,0.034,11.911,0.049,11.632,0.065,11.698,0.023,11.704,0.022
NGC 1516B,0.032903,ASASSN-18rs,Ia,8.56,0.069,---,---,---,---,21.07600021,0.069356002,17.86219978,0.002774,17.65649986,0.001946,17.44589996,0.003958,13.67329979,0.001396,---,---,---,---,---,---,11.431,0.023,11.191,0.021
2MASX J00455851-2156353,0.037923,ASASSN-18rt,Ic,9.49,0.049,---,---,---,---,15.94970036,0.001917,15.39389992,0.001524,15.11929989,0.001276,14.96520042,0.002047,14.74250031,0.003821,13.893,0.047,13.21,0.069,12.94,0.09,13.228,0.04,13.2,0.047
2MASX J04175445-4954290,0.053421,ASASSN-18sd,Ia,0.46,0,18.0981,0.0485,---,---,---,---,---,---,---,---,---,---,---,---,14.813,0.077,14.153,0.09,13.843,0.109,13.512,0.029,13.286,0.03
2MASS J00505596-0745536,---,ASASSN-18sg,Ia,11.69,0.146,18.849,0.0504,18.066,0.045,16.86450005,0.004598,16.61689949,0.00247,16.14660072,0.00295,15.96759987,0.004362,15.87020016,0.009852,---,---,---,---,---,---,14.817,0.041,14.657,0.068
ESO 244-G 007,0.031505,ASASSN-18sl,Ia-91T,0.94,unk,17.1371,0.0242,---,---,---,---,---,---,---,---,---,---,---,---,12.935,0.042,12.246,0.05,11.929,0.069,11.626,0.022,11.409,0.02
