SNName,TNSName,DiscDate,RA,Dec,Redshift,DiscMag,PeakMagV,PeakMagg,Offset,Type,DiscAge,HostName,DiscAtel,ClassAtel
ASASSN-18abr,SN 2018jwi,2018-12-14.12,'06:18:39.28,'-54:28:14.30,0.015457,17.1,---,14.99,0.4,Ia,14,2MASX J06183926-5428139,,
ASASSN-18abs,AT 2018kad,2018-12-16.85,'23:33:12.59,'-60:34:29.10,0.014827,17.3,---,16.19,9.4,Unk,13,2MASX J23331223-6034201,,
ASASSN-18abt,SN 2018kag,2018-12-17.07,'08:55:48.47,'+03:38:29.33,0.027209,17.2,---,16.34,6.17,IIn,12,SDSS J085548.84+033827.9,,
ASASSN-18abx,SN 2018kcw,2018-12-19.05,'22:16:07.86,'-36:50:55.46,0.011415,15.3,---,15.06,23.46,II,2,IC 5179,,
ASASSN-18abz,SN 2018khh,2018-12-20.05,'22:03:16.17,'-55:58:36.55,0.0229,16.4,---,15.61,18.07,IIn,0,2MASX J22031497-5558516,,
ASASSN-18ac,SN 2018bq,2018-01-08.38,'11:05:59.60,'-12:31:37.70,0.025628,16.2,---,15.84,0.57,Ia,5,LCRS B110329.3-121524,,
ASASSN-18acg,AT 2018kwx,2018-12-28.16,'01:04:32.53,'-54:38:13.63,Unk,17.8,---,17.16,1.59,Unk,0,2MASX J01043245-5438119,,
ASASSN-18acl,SN 2018lei,2018-12-31.16,'02:33:34.32,'-39:02:42.40,0.006585,16.9,---,15.94,0.27,Ic,7,NGC 0986,,
ASASSN-18ae,SN 2018br,2018-01-06.06,'03:07:52.53,'-45:44:22.74,0.06281,18,---,17.34,7.52,Ia,8,2MASX J03075327-4544235,,
ASASSN-18af,SN 2018bs,2018-01-09.09,'03:23:20.73,'-22:07:00.66,0.07,18,---,17.65,6.23,Ia,10,2MASX J03232113-2207024,,
ASASSN-18ag,SN 2018ds,2018-01-09.46,'14:48:53.57,'+38:46:03.68,0.03161,16.9,---,17.02,4.17,Ia,2,MCG +07-30-065,,
ASASSN-18ah,SN 2017jfb,2018-01-09.14,'05:28:51.20,'-35:44:35.27,Unk,17.6,---,17.04,6.04,Ia,-3,2MASXi J0528516-354436,,
