SNName,TNSName,DiscDate,RA,Dec,Redshift,DiscMag,PeakMagV,PeakMagg,Offset,Type,DiscAge,HostName,DiscAtel,ClassAtel
ASASSN-18lw,AT 2018cgo,2018-06-05.93,'19:28:50.75,'-19:32:53.92,Unk,16.8,---,16.65,10.1,Unk,3,WISEA J192850.22-193302.1,,
ASASSN-18lz,SN 2018cib,2018-06-04.39,'00:59:30.35,'-52:54:21.38,0.027272,16.6,---,15.54,0.85,Ia-91T,14,2MASX J00593045-5254215,,
ASASSN-18ma,AT 2018chb,2018-06-06.93,'15:16:02.02,'-38:42:46.76,0.039207,17.5,---,17.19,3.03,Unk,6,2MASX J15160198-3842498,,
ASASSN-18mb,SN 2018cif,2018-06-08.36,'22:03:00.93,'+02:35:51.32,0.029,17,---,16.65,13.83,Ia,5,IC 1422,,
ASASSN-18mc,SN 2018cjd,2018-06-10.93,'14:58:20.16,'-37:33:24.34,0.026068,16.9,---,15.64,4.93,Ia,17,ESO 386-G 043,,
ASASSN-18mj,SN 2018cmj,2018-06-13.37,'01:38:53.22,'-42:35:22.52,0.020784,17.2,---,17.16,15.8,II,0,NGC 0644,,
ASASSN-18mk,SN 2018cmk,2018-06-12.99,'11:38:29.66,'+20:31:43.86,0.025724,17,---,15.83,4.94,Ia,16,UGC 06609,,
ASASSN-18ml,SN 2018cmo,2018-06-13.54,'23:14:22.08,'-02:02:01.46,0.025998,16.1,---,16.02,0.23,Ia,-4,NGC 7533,,
ASASSN-18mn,SN 2018cmt,2018-06-13.14,'23:56:55.84,'-24:59:47.18,0.074378,18.3,---,15.42,0.85,Ia,23,2MASX J23565589-2459468,,
ASASSN-18mo,SN 2018cmu,2018-06-12.14,'09:17:59.85,'+50:00:07.81,0.034146,17.5,---,16.6,0.11,Ia,-19,2MASX J09175988+5000079,,
ASASSN-18mr,SN 2018cnf,2018-06-14.35,'23:39:31.17,'-03:08:54.78,0.023763,17.7,---,16.74,5.69,IIn,13,2MASX J23393156-0308565,,
ASASSN-18ms,AT 2018cnh,2018-06-13.17,'11:19:27.21,'+29:22:25.32,0.060568,18.2,---,17.41,3.42,Unk,16,2MASX J11192721+2922223,,
ASASSN-18mu,SN 2018cno,2018-06-13.41,'02:10:32.56,'-06:52:26.54,0.0435,17.3,---,16.56,0.4,Ia,14,2MASX J02103258-0652265,,
ASASSN-18mv,SN 2018cnp,2018-06-10.32,'13:49:39.75,'+47:49:07.90,0.027876,16.5,---,16.12,0.2,Ia,-15,2MASX J13493979+4749084,,
ASASSN-18mx,SN 2018coq,2018-06-16.58,'22:55:06.25,'+11:15:27.65,0.025,16.6,---,16.3,6.76,II,12,GALEXASC J225506.47+111533.5,,
ASASSN-18my,SN 2018cov,2018-06-17.38,'23:49:48.32,'-14:07:10.78,0.051456,17.4,---,16.34,0.13,Ia,6,2MASX J23494835-1407107,,
ASASSN-18mz,SN 2018cqi,2018-06-17.010,'13:57:40.89,'+17:30:29.02,0.022115,17.7,---,16.85,6.85,II,20,IC 0964,,
ASASSN-18na,SN 2018cqw,2018-06-18.21,'18:17:32.21,'+19:26:40.49,0.009843,16.8,---,14.32,0.23,Ia,12,CGCG 113-034,,
ASASSN-18nr,SN 2018ctb,2018-06-19.55,'22:01:08.08,'+20:03:04.25,0.029,16.5,---,16.16,5.98,Ia,-15,KUG 2158+198B,,
ASASSN-18ns,SN 2018cti,2018-06-21.10,'22:17:30.69,'+11:43:16.72,0.035,17.7,---,16.57,3.1,Ia,-14,SDSS J221730.91+114316.3,,
ASASSN-18nt,AT 2018ctv,2018-06-21.19,'01:25:52.03,'-01:22:01.67,0.018,17.2,---,16.55,221.76,Unk,6,ABELL 0194,,
ASASSN-18nu,SN 2018cue,2018-06-22.310,'19:31:59.95,'-62:40:16.28,0.013,18.2,---,17.09,6.98,II,7,GALEXASC J193159.40-624022.2,,
ASASSN-18nx,SN 2018cvk,2018-06-25.40,'19:55:31.94,'-49:53:11.26,0.02473,18.1,---,16.89,20.64,IIn,34,ESO 233-G 007,,
ASASSN-18oa,SN 2018cvn,2018-06-26.34,'01:30:27.12,'-26:47:05.96,0.0198,16.7,---,16,24.02,IIn,8,ESO 476-G 016,,
ASASSN-18od,SN 2018dda,2018-07-04.96,'22:08:14.15,'-25:03:41.57,0.018229,16,---,15.37,4.59,Ia,12,ESO 532-G 021,,
ASASSN-18oe,SN 2018ddb,2018-07-05.05,'00:02:49.71,'-66:11:06.14,0.029,16.7,---,16.32,5.44,Ia,5,IC 5380,,
ASASSN-18oi,SN 2018ddi,2018-07-02.44,'03:39:35.09,'-06:19:30.28,0.0206,15.9,---,15.49,1.04,Ia,4,SDSS J033935.15-061929.9,,
ASASSN-18om,SN 2018ddx,2018-07-07.24,'22:04:59.92,'-56:04:57.28,0.0229,17.3,---,16.66,3.51,II,6,APMUKS(BJ) B220137.90-561932.4,,
ASASSN-18on,SN 2018ddy,2018-07-07.15,'22:59:57.24,'-45:25:54.41,0.0513,17.9,---,17.2,1.99,Ia,2,GALEXASC J225957.21-452556.4,,
ASASSN-18oo,SN 2018dei,2018-07-05.78,'13:23:43.06,'-25:24:32.72,0.041,18.1,---,17.57,3.11,Ia,5,GALEXASC J132343.14-252429.8,,
ASASSN-18op,SN 2018dej,2018-07-06.98,'21:09:46.00,'-50:14:13.63,0.058,17.4,---,16.58,2.53,Ia,-8,GALEXASC J210946.18-501414.9,,
ASASSN-18ou,SN 2018dfh,2018-07-10.44,'05:11:33.40,'-21:16:10.45,0.013836,16.2,---,15.89,9.49,II,11,ESO 553-G 019,,
ASASSN-18pb,SN 2018djd,2018-07-12.36,'02:14:33.99,'-00:45:55.57,0.026385,16.2,---,16.61,7.83,Ia,6,NGC 0863,,
ASASSN-18ph,SN 2018dys,2018-07-15.06,'12:55:10.14,'-05:34:07.79,0.055,17.5,---,17.52,0.19,Ic,-10,GALEXASC J125510.22-053406.8,,
ASASSN-18pi,SN 2018dyv,2018-07-15.06,'19:43:17.28,'-54:34:14.48,0.039841,17.7,---,16.79,20.08,IIn,14,2MASX J19431917-5434257,,
ASASSN-18pl,AT 2018dzt,2018-07-17.22,'21:27:52.88,'-51:19:56.78,0.053127,17.4,---,16.91,22.41,Ia,12,ESO 236-IG 015,,
ASASSN-18pr,SN 2018ebj,2018-07-20.37,'03:53:06.63,'-45:10:51.82,0.051,17.1,16.9,---,0.84,Ia,0,LCRS B035129.8-451941,,
ASASSN-18pu,AT 2018ebu,2018-07-22.05,'21:57:19.82,'-45:34:40.12,0.061,18.1,---,17.46,1.48,Ia,10,2MASX J21571983-4534417,,
ASASSN-18pv,AT 2018ebv,2018-07-22.18,'02:04:06.80,'-17:43:24.96,Unk,17.8,---,17.58,4.54,Unk,0,2MASX J02040678-1743294,,
ASASSN-18pw,SN 2018ebw,2018-07-22.54,'02:41:16.37,'+20:30:16.45,0.03,16.5,---,16.06,1.7,Ia,-17,WISEA J024116.48+203017.0,,
ASASSN-18px,SN 2018ebx,2018-07-21.910,'00:55:26.32,'-74:18:39.71,0.034,17.3,---,16.38,2.78,Ia,4,2MASX J00552674-7418379,,
ASASSN-18qk,SN 2018emt,2018-08-01.13,'22:10:35.57,'-27:14:58.96,0.02395,16.8,---,16.5,3.11,II,3,2MASS J22103576-2714557,,
ASASSN-18qq,AT 2018ena,2018-08-02.06,'19:12:39.79,'-66:32:27.35,Unk,17.2,---,17.09,2.8,Unk,24,WISEA J191239.99-663229.9,,
ASASSN-18qr,AT 2018end,2018-08-02.34,'20:51:32.71,'-46:11:31.13,Unk,17.1,---,16.82,1.3,Unk,2,GALEXASC J205132.58-461131.1,,
ASASSN-18qs,SN 2018enj,2018-08-02.82,'20:05:41.06,'-47:58:41.30,0.03,17,---,16.18,11.71,Ia,-10,NGC 6851B,,
ASASSN-18qv,SN 2018eph,2018-08-04.310,'04:55:50.15,'-61:45:23.98,0.03,16.7,---,16.52,2.18,II,-2,2MASXi J0455502-614521,,
ASASSN-18qw,SN 2018epq,2018-08-05.39,'00:31:26.26,'-49:35:23.56,0.021912,16.6,---,16.49,9.38,II,1,ESO 194-G 024,,
ASASSN-18re,SN 2018eui,2018-08-08.510,'03:13:33.29,'-15:15:19.22,0.031388,16.7,---,16.66,26.85,Ia,-2,MCG -03-09-010,,
ASASSN-18rf,SN 2018euj,2018-08-08.84,'19:52:29.82,'-60:45:51.41,0.034,17.1,---,16.82,10.69,Ia,7,2MASX J19523057-6045422,,
ASASSN-18rn,SN 2018evo,2018-08-08.85,'21:48:38.45,'-43:22:48.43,0.07389,18,---,17.55,2.24,Ia,-6,2MASS J21483845-4322470,,
ASASSN-18ro,SN 2018evt,2018-08-11.00,'13:46:39.21,'-09:38:35.74,0.024971,16.5,15.42,---,13,Ia,11,MCG -01-35-011,,
ASASSN-18rp,AT 2018evv,2018-08-11.05,'13:37:39.07,'-29:08:04.67,0.018176,17.4,---,16.58,9.55,Unk,18,2MASX J13373954-2907572,,
ASASSN-18rq,SN 2018evw,2018-08-11.22,'21:15:14.33,'+02:11:32.32,0.050335,17.6,---,17.4,0.69,Ia,11,IC 1370,,
ASASSN-18rs,SN 2018ezx,2018-08-12.38,'04:08:08.16,'-08:50:00.28,0.032903,17.2,---,17.39,8.56,Ia,-14,NGC 1516B,,
ASASSN-18rt,SN 2018fav,2018-08-12.910,'00:45:58.57,'-21:56:44.34,0.037923,18.1,---,17.9,9.49,Ic,7,2MASX J00455851-2156353,,
ASASSN-18sd,SN 2018fcu,2018-08-13.07,'04:17:54.46,'-49:54:28.48,0.05,17.4,---,16.45,0.46,Ia,19,2MASX J04175445-4954290,,
ASASSN-18sg,SN 2018fcw,2018-08-14.99,'00:50:55.03,'-07:45:59.90,0.055,17.6,---,16.75,11.69,Ia,11,2MASS J00505596-0745536,,
ASASSN-18sl,SN 2018feq,2018-08-17.24,'01:15:18.73,'-44:55:11.17,0.031505,17.8,---,16.09,0.94,Ia-91T,14,ESO 244-G 007,,
ASASSN-18ss,SN 2018fex,2018-08-17.33,'03:55:20.76,'-56:45:14.62,0.02428,17.8,---,17.44,28.88,IIb,7,IC 2014,,
ASASSN-18st,SN 2018fey,2018-08-18.03,'01:22:19.53,'-02:29:47.80,0.06,17.9,---,17.23,4.46,Ia,6,GALEXASC J012219.32-022950.9,,
ASASSN-18sv,SN 2018ffb,2018-08-17.94,'22:58:11.42,'-20:17:03.16,0.07,17.9,---,17.42,0.82,Ia,-2,GALEXASC J225811.55-201702.1,,
ASASSN-18sw,SN 2018ffz,2018-08-18.63,'06:36:01.09,'+83:47:33.76,0.01,16.2,16.4,---,22.95,Ic,-4,MCG +14-04-002,,
ASASSN-18ta,SN 2018fgj,2018-08-20.37,'04:47:32.32,'-02:18:25.34,0.030978,17.3,---,15.98,17.24,Ia,11,UGC 03168,,
ASASSN-18tb,SN 2018fhw,2018-08-21.31,'04:18:06.15,'-63:36:56.66,0.017,16.8,---,16.35,4.83,Ia,2,2MASX J04180598-6336523,,
ASASSN-18tc,SN 2018fhx,2018-08-21.39,'06:24:37.95,'-23:43:59.34,0.023266,17,---,16.06,5.86,Ia,6,2MASX J06243821-2343546,,
ASASSN-18ti,SN 2018fnq,2018-08-31.08,'20:12:29.92,'-44:06:36.07,0.019,17,---,15.57,1.8,Ia,9,WISEA J201230.05-440635.0,,
ASASSN-18tn,SN 2018fpb,2018-08-31.55,'23:59:42.79,'+34:20:39.91,0.0148,16.8,---,16.84,3.18,IIb,1,KUG 2357+340,,
ASASSN-18to,SN 2018fpm,2018-08-31.08,'22:24:21.64,'-33:41:33.28,0.011191,17,---,16.49,5.81,Unk,-6,NGC 7267,,
ASASSN-18tp,SN 2018fqd,2018-09-01.13,'20:51:51.38,'-36:50:12.08,0.039394,17.2,---,17.03,9.06,Ia,0,2MASX J20515213-3650127,,
ASASSN-18tq,SN 2018fqn,2018-09-02.27,'22:39:38.14,'-15:05:09.89,0.052,17.8,---,16.95,1.54,Ia,6,GALEXASC J223938.25-150510.0,,
ASASSN-18tr,SN 2018frv,2018-09-01.12,'20:40:31.14,'-46:34:38.03,0.04313,18,---,17.48,0.64,Ia,6,2MASX J20403120-4634385,,
ASASSN-18ts,SN 2018fsa,2018-09-03.110,'22:25:37.06,'-13:04:30.28,0.043,17.7,---,16.72,2.6,Ia,12,WISEA J222536.90-130431.5,,
ASASSN-18tu,SN 2018ftc,2018-09-04.25,'23:28:03.96,'+09:46:14.92,0.05,17.5,---,17.52,0.59,Ia,1,2MASX J23280396+0946153,,
ASASSN-18ty,SN 2018fub,2018-09-05.26,'00:40:30.67,'-50:41:15.07,0.0288,17.4,---,16.11,0.14,Ia,11,2MASX J00403068-5041153,,
ASASSN-18tz,AT 2018fuc,2018-09-05.33,'04:49:54.50,'-41:56:16.84,0.019657,17.4,---,16.87,24.83,Unk,9,ESO 304-G 024,,
ASASSN-18uc,SN 2018fuj,2018-09-05.38,'04:30:58.50,'-26:46:54.52,0.050745,18.1,---,17.27,4.35,Ia,-11,2MASX J04305853-2646501,,
ASASSN-18ud,SN 2018fuk,2018-09-05.310,'05:45:07.12,'-79:23:47.90,0.017582,17.1,---,15.71,16.2,Ia,9,ESO 016-G 011,,
ASASSN-18ue,SN 2018fvh,2018-09-06.21,'01:15:10.23,'-18:10:59.16,0.073,17.7,---,17.07,1.44,Ia,2,2MASX J01151030-1810578,,
ASASSN-18ug,SN 2018fvi,2018-09-04.31,'01:57:42.56,'-67:11:13.60,0.040421,16.7,---,17.08,13.9,Ia,4,AM 0156-672,,
ASASSN-18uh,SN 2018fvj,2018-09-06.28,'04:29:31.21,'-11:01:51.42,0.066,17.9,---,17.26,5.44,Ia,13,2MASS J04293073-1101519,,
ASASSN-18un,SN 2018fzm,2018-09-09.09,'21:03:19.80,'-51:32:48.08,0.046806,17.3,---,16.76,3.07,Ia,2,2MASX J21031998-5132509,,
ASASSN-18uo,SN 2018fzz,2018-09-09.22,'21:53:29.19,'-53:58:52.39,0.05,18.2,---,17.01,2.54,Ia-91T,-14,GALEXASC J215329.40-535850.6,,
ASASSN-18ux,SN 2018gec,2018-09-10.46,'07:09:53.38,'+54:58:07.72,0.037136,17.2,---,17.11,4,Ia,0,UGC 03700,,
ASASSN-18vc,SN 2018get,2018-09-10.61,'07:34:09.11,'+04:32:57.70,0.004086,16.5,---,16.53,53.69,II,14,UGC 03912,,
ASASSN-18ve,SN 2018gex,2018-09-10.11,'21:31:28.57,'-50:44:59.32,0.030438,18.1,---,17.26,3.71,II,4,2MASX J21312888-5044570,,
ASASSN-18vf,SN 2018gfi,2018-09-12.40,'00:58:53.92,'-24:11:46.79,0.02,17.4,---,15.76,1.86,Ia,12,GALEXASC J005853.87-241144.9,,
ASASSN-18vm,SN 2018ghb,2018-09-14.36,'06:58:27.51,'-28:45:48.85,0.007595,15.1,---,14.52,22.23,Ia,15,ESO 427-G 022,,
ASASSN-18vo,SN 2018gkj,2018-09-14.16,'22:02:26.96,'-64:21:04.56,0.041575,17.5,---,17.04,9.34,Ia,2,2MASX J22022606-6421118,,
ASASSN-18vp,SN 2018gio,2018-09-15.25,'04:20:41.24,'-14:46:52.64,0.030785,17.3,---,16.58,3.75,Ia,9,IC 0367,,
ASASSN-18wd,SN 2018gva,2018-09-25.48,'07:51:09.58,'+62:05:12.16,0.021465,16,---,16.07,25.04,Ia,3,CGCG 286-070,,
ASASSN-18wf,SN 2018gyr,2018-09-30.02,'00:49:47.21,'-61:39:13.03,0.034551,17.2,---,16.87,0.08,Ia,5,2MASX J00494722-6139127,,
ASASSN-18wg,SN 2018gys,2018-09-30.710,'23:17:53.46,'-42:12:47.38,0.06,18,---,17.29,0.61,Ia,4,LCRS B231508.2-422911,,
ASASSN-18wq,SN 2018hay,2018-10-02.63,'09:23:17.66,'+42:22:48.57,0.009,16.4,---,16.53,0.6,II,3,SDSS J092317.60+422248.7,,
ASASSN-18wr,SN 2018hbh,2018-10-03.010,'22:20:35.89,'-30:11:59.06,0.0701,17.7,---,16.81,3.25,Ia,-17,GALEXASC J222036.16-301159.2,,
ASASSN-18wx,AT 2018hch,2018-10-04.87,'20:29:35.59,'-54:28:44.36,Unk,17,---,16.54,1.33,Unk,10,GALEXASC J202935.44-542844.5,,
ASASSN-18xa,SN 2018hck,2018-10-05.01,'04:34:46.27,'-13:29:02.22,0.033226,17.6,---,16.28,6.83,Ia,-3,2MASX J04344671-1329047,,
ASASSN-18xb,SN 2018hcq,2018-10-06.33,'08:20:25.85,'-65:20:30.52,0.035491,17,---,16.89,5.45,Ia-91T,13,ESO 089-G 019,,
ASASSN-18xd,AT 2018hdm,2018-10-07.33,'23:53:40.39,'-34:04:29.03,0.056,18,---,17,2.55,Unk,17,2MASS J23534025-3404302,,
ASASSN-18xe,AT 2018hdn,2018-10-07.86,'21:01:34.25,'-09:26:09.89,0.037,17.5,---,16.97,0.6,Ia,-7,WISEA J210134.24-092610.6,,
ASASSN-18xf,SN 2018hdo,2018-10-08.08,'04:42:37.85,'-53:16:01.16,0.041,17.4,---,17.14,3.77,Ia,-10,2MASX J04423745-5316010,,
ASASSN-18xg,SN 2018hdp,2018-10-08.02,'02:13:45.04,'+04:06:08.17,0.011461,16.9,---,16.35,0.25,Ic,5,UGC 01716,,
ASASSN-18xj,AT 2018hek,2018-10-07.17,'00:01:27.94,'-42:25:15.42,0.05371,18,---,17.1,0.32,Unk,13,LCRS B235854.2-424158,,
ASASSN-18xk,SN 2018hfg,2018-10-09.49,'08:52:56.18,'+42:24:46.66,0.023863,16.9,---,15.94,9.14,IIn,17,UGC 04642,,
ASASSN-18xl,SN 2018hfm,2018-10-09.63,'09:36:08.69,'+06:15:27.72,0.008087,15,---,15.07,2.83,II,1,2MASS J09360855+0615258,,
ASASSN-18xm,SN 2018hfp,2018-10-07.76,'20:59:47.86,'-16:38:11.90,0.029037,16.7,---,16.34,6.6,Ia,12,MCG -03-53-015,,
ASASSN-18xn,SN 2018hfr,2018-10-10.49,'09:30:55.04,'-04:34:16.64,0.022599,15.9,---,15.66,1.09,Ia-91T,9,2MASX J09305509-0434173,,
ASASSN-18xp,SN 2018hfu,2018-10-09.90,23:54:50.92,'+05:42:58.18,0.0498,17.8,---,16.77,13.8,Ia-91T,10,WISEA J235451.41+054309.6,,
ASASSN-18xq,AT 2018hgb,2018-10-10.10,'04:18:56.24,'-02:33:22.03,0.017269,18.1,---,17.8,0.05,Unk,1,2MASX J04185624-0233220,,
ASASSN-18xr,SN 2018hgc,2018-10-10.04,'00:42:04.55,'-02:37:44.51,0.051782,18.2,---,16.81,19.7,Ia,17,2MASX J00420581-0237394,,
ASASSN-18xs,SN 2018hgd,2018-10-10.99,'00:22:05.32,'+07:03:50.72,0.025,17.3,---,16.16,1.51,II,16,GALEXASC J002205.41+070351.5,,
ASASSN-18xv,AT 2018hgp,2018-10-11.13,'22:14:03.75,'+37:34:52.75,Unk,17.9,---,16.84,0.8,Unk,-7,GALEXASC J221403.80+373452.2,,
ASASSN-18xw,SN 2018hhp,2018-10-14.19,'02:42:33.42,'-09:28:04.15,0.030958,17.3,---,16.5,0.18,Ia,6,MCG -02-07-072,,
ASASSN-18xy,SN 2018hjw,2018-10-11.59,'07:53:02.16,'+07:16:35.18,0.038,16.9,---,16.55,1.98,Ia-91T,15,CGCG 030-025,,
ASASSN-18ya,SN 2018hkq,2018-10-15.38,'10:05:47.95,'-17:26:04.34,0.016598,15.9,---,15.45,0.83,Ia,1,IC 2541,,
ASASSN-18yb,SN 2018hkw,2018-10-16.25,'02:38:22.73,'-11:44:19.90,0.026895,17.6,---,16.81,5.06,Ia-91bg,7,2MASX J02382311-1144215,,
ASASSN-18yc,SN 2018hkx,2018-10-16.37,'04:00:53.81,'-66:40:30.61,0.025,17.4,---,16.17,5.72,Ia,10,2MASX J04005460-6640336,,
ASASSN-18yf,SN 2018hme,2018-10-20.37,'09:35:39.25,'-17:23:11.28,0.014123,15.8,---,15.56,8.65,Ia,0,MCG -03-25-010,,
ASASSN-18yk,SN 2018hox,2018-10-27.07,'16:36:15.69,'+66:14:24.50,0.02413,16.1,---,15.63,1.36,Ia,-1,UGCA 413,,
ASASSN-18yn,SN 2018hpu,2018-10-17.86,'03:18:21.23,'-41:36:34.85,0.067,18.2,---,17.22,0.33,Ia,11,LCRS B031632.6-414727,,
ASASSN-18yo,SN 2018hrp,2018-11-01.06,'19:14:12.47,'-49:32:51.07,0.035,17.6,---,17,0.35,Ia,3,2MASX J19141248-4932513,,
ASASSN-18yp,SN 2018hrq,2018-10-17.42,'23:51:06.24,'+01:03:24.23,0.027062,17.5,---,16.76,0.15,II,3,UGC 12810,,
ASASSN-18yr,SN 2018hsh,2018-11-01.24,'23:11:49.64,'-40:22:18.08,0.036962,17.2,---,16.54,3.83,Ia,4,2MASX J23114995-4022172,,
ASASSN-18ys,AT 2018hsk,2018-11-01.110,'06:42:39.09,'-53:14:26.12,0.027012,16.5,---,16.02,3.79,Unk,5,6dF J0642387-531423,,
ASASSN-18yu,AT 2018hsr,2018-11-03.17,'00:53:48.57,'-60:47:44.81,0.027666,17.5,---,16.97,10.55,Unk,19,2MASX J00534739-6047509,,
ASASSN-18yv,SN 2018hss,2018-11-02.13,'04:13:00.26,'-53:59:31.49,0.043,17.5,---,17.21,10.22,Ia,6,FAIRALL 0765,,
ASASSN-18yw,SN 2018hsy,2018-11-03.46,'09:30:29.80,'+16:20:37.32,0.028245,17,---,16.26,1.15,Ia,22,CGCG 091-100,,
ASASSN-18yx,SN 2018hsz,2018-11-02.30,'03:56:20.64,'-54:00:38.77,0.061709,17.7,---,17.37,0.29,Ia,4,FAIRALL 0761,,
ASASSN-18yy,SN 2018hts,2018-11-01.91,'23:24:32.96,'+17:05:37.54,0.04,16.8,---,16.42,11.47,Ia,3,GALEXMSC J232433.40+170528.0,,
ASASSN-18yz,AT 2018huu,2018-11-05.010,'17:55:04.46,'+41:23:54.42,Unk,17.8,---,17.33,0.43,Unk,11,2MASX J17550444+4123549,,
ASASSN-18ze,SN 2018hxf,2018-11-06.37,'04:22:17.91,'-05:28:05.56,0.0296,17.3,---,17.07,7.19,II,9,2MASX J04221796-0527576,,
ASASSN-18zf,AT 2018hxg,2018-11-02.26,'06:07:19.80,'-49:13:08.57,Unk,17.8,---,17.17,0.48,Unk,5,2MASX J06071977-4913084,,
ASASSN-18zg,AT 2018hxh,2018-11-04.07,'21:48:36.14,'-62:44:38.26,0.064595,18.1,---,17.6,0.56,Unk,5,2MASX J21483624-6244383,,
ASASSN-18zh,AT 2018hxj,2018-11-06.25,'01:33:56.18,'-39:05:08.81,0.029687,17.9,---,17.35,28.22,Unk,5,ESO 297-IG 001,,
ASASSN-18zi,AT 2018hyx,2018-11-06.210,'04:29:27.07,'-47:04:23.38,Unk,18.3,---,17.15,0.57,Unk,-10,2MASS J04292713-4704232,,
ASASSN-18zk,SN 2018hzg,2018-11-06.63,'11:42:23.66,'+10:15:51.16,0.021692,16,---,16.04,1.02,Ia,11,NGC 3825,,
ASASSN-18zl,AT 2018hzy,2018-11-07.35,'10:48:33.84,'-39:02:38.22,0.044664,17.4,---,16.94,0.54,Unk,26,2MASX J10483385-3902375,,
ASASSN-18zp,AT 2018ido,2018-11-08.19,'01:15:27.37,'-31:23:52.04,0.0531,17.3,---,16.84,0.72,Unk,13,2MASX J01152744-3123520,,
ASASSN-18zq,AT 2018idp,2018-11-06.18,'22:46:59.68,'-26:57:27.79,0.058424,17.7,---,17.58,0.16,Unk,-14,2MASX J22465971-2657280,,
ASASSN-18zs,AT 2018ifr,2018-11-07.91,'00:01:21.91,'-25:11:44.20,0.027702,17.6,---,16.18,0.3,Unk,19,2MASX J00012190-2511446,,
ASASSN-18zt,AT 2018ihk,2018-11-08.21,'00:04:08.68,'-33:36:37.76,0.073521,18.1,---,16.93,0.71,Unk,-16,2MASS J00040874-3336378,,
ASASSN-18zx,SN 2018ino,2018-11-16.45,'11:26:42.50,'+20:43:37.42,0.02094,17.6,---,17.02,2.63,II,38,SDSS J112642.32+204336.7,,
ASASSN-18zy,AT 2018ipz,2018-11-07.48,'09:20:16.55,'+86:03:00.83,Unk,17.9,---,17.44,0.47,Unk,9,2MASX J09201657+8603002,,
ASASSN-18zz,SN 2018ioa,2018-11-18.27,'04:20:32.10,'-38:57:35.93,0.041229,17.5,---,16.96,7.21,Ia,11,LCRS B041846.9-390434,,
ASASSN-19aa,SN 2019A,2019-01-01.01,'11:39:08.58,'-21:32:30.80,0.072293,17.8,---,17.36,11.05,Ia,17,2MASX J11390794-2132244,,
ASASSN-19aah,AT 2019trp,2019-10-27.07,'16:26:19.10,'+43:24:22.46,0.031725,17.6,---,16.74,5.8,Unk,10,WISE J162618.78+432427.1,,
ASASSN-19aak,SN 2019tym,2019-11-02.24,'22:19:43.75,'+36:24:35.28,0.02,17.3,---,15.97,9.04,Ia,11,2MFGC 16828,,
ASASSN-19aat,SN 2019ufq,2019-11-05.05,'23:07:55.17,'-57:41:26.70,0.044,17.1,---,16.34,8.74,Ia,8,2MASS J23075596-5741326,,
ASASSN-19ab,SN 2019B,2018-12-28.210,'00:13:02.47,'+22:06:07.96,0.021,17.8,---,16.41,85.3,II,22,UGC 00118,,
ASASSN-19abg,AT 2019uxv,2019-11-15.05,'19:45:32.03,'-56:33:11.70,0.017477,17.1,---,16.45,39.88,Unk,-8,IC 4890,,
ASASSN-19abk,AT 2019vif,2019-11-20.78,'03:45:35.97,'-38:27:54.54,0.04851,17.7,---,17.05,1.05,Unk,-42,LCRS B034346.5-383713,,
ASASSN-19abl,AT 2019vig,2019-11-20.27,'02:37:58.39,'-62:03:44.78,0.052103,17.6,---,16.82,6.78,Unk,-5,FAIRALL 0224,,
ASASSN-19abm,AT 2019vjf,2019-11-21.94,'06:40:19.00,'-39:54:20.70,Unk,17.5,---,16.51,0.3,Unk,16,WISEA J064019.01-395419.4,,
ASASSN-19abn,AT 2019vjk,2019-11-23.06,'21:48:20.17,'-68:36:50.72,Unk,16.5,---,15.98,1.78,Unk,-9,WISEA J214819.86-683650.4,,
ASASSN-19abo,SN 2019vjl,2019-11-23.50,'09:49:23.67,'+01:08:47.57,0.025017,17.3,---,16.62,12.08,II,-10,NGC 3015,,
ASASSN-19abp,SN 2019vjm,2019-11-23.50,'10:04:41.00,'+04:48:59.15,0.029841,17,---,16.41,6.36,Ia,19,CGCG 036-029,,
ASASSN-19abq,SN 2019vnj,2019-11-25.33,'11:09:01.23,'-14:38:10.32,0.02,16.6,---,16.14,3.84,Ia,7,WISEA J110901.48-143811.1,,
ASASSN-19abt,SN 2019von,2019-11-21.27,'02:09:47.59,'-11:37:46.70,0.039908,17.2,---,16.02,0.23,Ia,5,WISEA J020947.59-113746.9,,
ASASSN-19abw,SN 2019vqc,2019-11-24.27,'05:00:47.34,'-45:52:24.92,0.049,17.6,---,16.61,0.58,Ia,20,WISEA J050047.37-455225.3,,
ASASSN-19abx,SN 2019vqf,2019-11-26.04,'06:15:16.94,'-45:19:05.66,0.066,17.9,---,17.45,2.59,Ia,-4,WISEA J061517.03-451903.1,,
ASASSN-19aby,AT 2019vqh,2019-11-25.34,'11:36:54.22,'-24:35:54.02,0.027072,17.1,---,16.28,13.51,Unk,15,ESO 504-G 004,,
ASASSN-19abz,SN 2019vrp,2019-11-28.310,'01:07:21.32,'+09:45:36.86,0.039069,17.7,---,16.99,0.46,Ia,5,2MFGC 00814,,
ASASSN-19aca,SN 2019vrq,2019-11-28.25,'03:04:21.42,'-16:01:26.98,0.013079,17,---,14.17,2.21,Ia-91T,14,GALEXASC J030421.67-160124.7,,
ASASSN-19acb,AT 2019vsp,2019-11-26.18,'01:17:39.31,'-81:10:38.89,Unk,17.5,---,17.25,3.91,Unk,1,WISEA J011740.85-811037.9,,
