# Compiled by Dhvanil Desai using 2013-2017 ASAS-SN Bright Supernova Catalogues from Holoien et al. (2017a, 2017b, 2017c, 2019)
# Date: Feb 04, 2022
# -----------------------------------------------------------------------------------------------------------------------------------------------------
# SNName           Name of supernova
# IAUName          IAU name of supernova
# DiscDate         Discovery Date
# RA               Right Ascension (J2000)
# Dec              Declination (J2000)
# Redshift         Redshift of supernova
# DiscMag          Discovery V-band or g-band Magnitude
# PeakMag          Peak Magnitude
# PeakMagV         Peak V-band Magnitude
# PeakMagg         Peak g-band Magnitude
# Offset           Offset from host nucleus
# Type             Type of supernova
# DiscAge          Age of supernova at discovery, relative to peak
# HostName         Host galaxy name
# Recovered        Was the supernova recovered by ASAS-SN?
# l                Galactic longitude [degrees]
# b                Galactic latitude [degrees]
# MagV_corrected   PeakMagV corrected for Galactic extinction and K-corrections
# dist_mod         Distance modulus computed using the Redshift
# abs_M_peak       Absolute peak V-band magnitude (MagV_corrected - dist_mod)
# comp_SNIa        Completeness correction factor for a supernova of given apparent and absolute magnitude
# F2_SNIa          Volumetric correction factor
# weighted_N       The total weight for each supernova (1 / (comp_SNIa * F2_SNIa))
# -----------------------------------------------------------------------------------------------------------------------------------------------------
# Note: This table is limited to supernovae brighter than 16.5 mag in the V-band with the correction factors computed using a maximum redshift of 0.07.
# -----------------------------------------------------------------------------------------------------------------------------------------------------
# SNName,IAUName,DiscDate,RA,Dec,Redshift,DiscMag,PeakMag,PeakMagV,PeakMagg,Offset,Type,DiscAge,HostName,Recovered,l,b,MagV_corrected,dist_mod,abs_M_peak,comp_SNIa,F2_SNIa,weighted_N
ASASSN-13dm,2013hk,2013-12-04.86,03:02:11.03,+15:55:37.9,0.017,15.9,999.0,15.6,999.0,1.08,Ia,1,2MASX J03021111+1555387,Yes,163.18959485683555,-36.52431072040218,15.252115173584276,34.33911078244007,-19.0869956088558,0.5905759860764836,0.08265228872206477,20.486573781193812
ASASSN-14ar,---,2014-04-24.28,09:09:41.68,+37:36:07.6,0.02298,16.7,999.0,16.0,999.0,1.41,Ia-91bg,-5,IC 527,Yes,185.53822385984645,42.707677228738326,15.944475867104332,35.00338775428692,-19.05891188718259,0.5515191592705249,0.07959939429035313,22.778736614327485
ASASSN-14ax,---,2014-05-04.47,17:10:00.68,+27:06:20.1,0.033,16.8,999.0,16.4,999.0,0.66,Ia,-5,SDSS J171000.69+270619.5,Yes,48.99889052436106,33.164062979821765,16.27188117041185,35.80538965139013,-19.53350848097828,0.5609722211510649,0.149295795235611,11.940185327075374
ASASSN-14ay,---,2014-05-19.55,15:57:02.99,+37:24:56.4,0.030869,16.6,999.0,16.3,999.0,5.87,Ia,-2,2MASX J15570268+3725001,Yes,59.7679127075896,49.862397050567225,16.243535933665598,35.65701099398754,-19.413475060321943,0.5564566773436461,0.12761216940343606,14.082395917584467
ASASSN-14bb,---,2014-05-19.33,12:14:11.35,+38:39:40.8,0.023,16.1,999.0,16.1,999.0,0.84,Ia,-2,2MASX J12141125+3839400,Yes,154.62644811817788,76.08437220674261,16.058377895418886,35.00530934949225,-18.946931454073365,0.5377193425426958,0.06849001954995267,27.152951936233478
ASASSN-14bt,---,2014-05-27.28,10:19:19.74,+58:30:19.7,0.0289,17.3,999.0,16.2,999.0,3.89,Ia,-6,UGC 5566,Yes,152.32821240200167,49.03047847067305,16.176356301632083,35.510716291474026,-19.334359989841943,0.5559722900053125,0.11495374600619702,15.646734925507351
ASASSN-14cb,---,2014-06-07.33,13:08:14.45,+62:02:02.5,0.033643,16.7,999.0,16.5,999.0,2.5,Ia,-2,2MASXi J1308145+620200,Yes,119.50002683266494,54.98211762954767,16.470168658566067,35.848323912432974,-19.378155253866908,0.5332917485211363,0.12180804019703982,15.394272865503428
ASASSN-14dz,---,2014-07-13.31,15:05:54.52,+12:44:43.3,0.022202,15.9,999.0,15.8,999.0,7.0,Ia,0,Mrk 842,Yes,15.07044520923804,55.434165645141285,15.701113209175364,34.92733169919009,-19.226218490014727,0.5792092880475757,0.09956072990992604,17.34109073496391
ASASSN-14ef,---,2014-07-20.27,22:12:10.71,-27:49:43.4,0.0287329999999999,16.5,999.0,15.2,999.0,6.22,Ia,9,MCG -05-52-046,Yes,22.35543547163695,-54.827379726099295,15.14617517488282,35.4978625654235,-20.351687390540683,0.6156527585223253,0.4427562252018184,3.6685926712366994
ASASSN-14eo,---,2014-07-26.57,01:57:36.72,+16:46:20.8,0.026819,15.9,999.0,15.8,999.0,9.24,Ia,-3,CGCG 461-012,Yes,144.91558928658733,-43.25667239286472,15.65648227274689,35.345078556879095,-19.688596284132203,0.6069886087202795,0.1826434239546629,9.020184465123837
